2026-07-12 20:04:09.864 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Raw_Weights_Fold_3_Top5.nii
2026-07-12 20:04:10.240 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:04:10.240 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Haufe_Fold_3_Top1.nii
2026-07-12 20:04:10.310 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:04:10.314 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Haufe_Fold_3_Top5.nii
2026-07-12 20:04:10.352 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:04:10.368 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Gaonkar_Fold_3_bonf005.nii
2026-07-12 20:04:10.417 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:04:10.417 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Gaonkar_Fold_3_fdr01.nii
2026-07-12 20:04:10.503 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:04:10.677 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Raw Weights (Fold 3) Top 1% | Z-Axis Computed Slices: 52
2026-07-12 20:04:18.098 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Raw Weights (Fold 3) Top 5% | Z-Axis Computed Slices: 53
2026-07-12 20:04:24.972 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Haufe Pattern (Fold 3) Top 1% | Z-Axis Computed Slices: 41
2026-07-12 20:04:30.179 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Haufe Pattern (Fold 3) Top 5% | Z-Axis Computed Slices: 49
2026-07-12 20:04:35.101 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Gaonkar Z-Score (Fold 3) Bonf 0.05 | Z-Axis Computed Slices: 24
2026-07-12 20:04:38.015 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Gaonkar Z-Score (Fold 3) FDR 0.1 | Z-Axis Computed Slices: 44
2026-07-12 20:04:42.373 | INFO     | run_svm_pipeline.py:run_svm_pipeline:190 - Processing XAI for Fold 4 (C=0.0001)...
2026-07-12 20:06:23.230 | INFO     | XAI_SVM.py:compute_haufe_patterns:38 - Computing Haufe Forward Transform (Covariance mapping)...
2026-07-12 20:06:27.019 | SUCCESS  | XAI_SVM.py:compute_haufe_patterns:47 - Haufe patterns successfully extracted.
2026-07-12 20:06:27.300 | INFO     | XAI_SVM.py:compute_gaonkar_maps:70 - Computing Gaonkar Analytic Significance Maps for HDLSS regime...
2026-07-12 20:06:27.311 | DEBUG    | XAI_SVM.py:compute_gaonkar_maps:76 - Gaonkar Sample-to-Feature Ratio (m/d): 0.0004
2026-07-12 20:06:27.324 | WARNING  | XAI_SVM.py:compute_gaonkar_maps:83 - HDLSS Violation: Support Vectors are only 85.0% of samples (Requires >= 95.0%).
2026-07-12 20:06:31.960 | INFO     | XAI_SVM.py:compute_gaonkar_maps:130 - Applying BONFERRONI multiple comparisons correction at alpha=0.05...
2026-07-12 20:06:32.076 | INFO     | XAI_SVM.py:compute_gaonkar_maps:134 - Gaonkar Correction (BONFERRONI): 701/627444 voxels passed significance.
2026-07-12 20:06:32.257 | INFO     | XAI_SVM.py:compute_gaonkar_maps:70 - Computing Gaonkar Analytic Significance Maps for HDLSS regime...
2026-07-12 20:06:32.257 | DEBUG    | XAI_SVM.py:compute_gaonkar_maps:76 - Gaonkar Sample-to-Feature Ratio (m/d): 0.0004
2026-07-12 20:06:32.273 | WARNING  | XAI_SVM.py:compute_gaonkar_maps:83 - HDLSS Violation: Support Vectors are only 85.0% of samples (Requires >= 95.0%).
2026-07-12 20:06:36.734 | INFO     | XAI_SVM.py:compute_gaonkar_maps:130 - Applying FDR_BY multiple comparisons correction at alpha=0.1...
2026-07-12 20:06:36.883 | INFO     | XAI_SVM.py:compute_gaonkar_maps:134 - Gaonkar Correction (FDR_BY): 2993/627444 voxels passed significance.
2026-07-12 20:06:37.093 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Raw_Weights_Fold_4_Top1.nii
2026-07-12 20:06:37.325 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
