ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
31,Right Amygdala,3.5461157770717846,1326.2473006248474
32,Left Amygdala,1.4302515360514323,536.3443260192871
116,Right Ent entorhinal area,0.9128422314698273,607.952926158905
47,Right Hippocampus,0.3259613257037014,474.92565155029297
48,Left Hippocampus,0.2837949062288465,385.67727756500244
117,Left Ent entorhinal area,0.19733554289199098,135.9641890525818
171,Left PHG parahippocampal gyrus,0.07539626473043268,89.79695129394531
59,Right Thalamus Proper,0.005565469161323879,16.6407527923584
60,Left Thalamus Proper,0.0017378011278625818,5.468860149383545
30,Left Accumbens Area,0.0,0.0
36,Right Caudate,0.0,0.0
56,Left Pallidum,0.0,0.0
55,Right Pallidum,0.0,0.0
58,Left Putamen,0.0,0.0
57,Right Putamen,0.0,0.0
75,Left Basal Forebrain,0.0,0.0
76,Right Basal Forebrain,0.0,0.0
37,Left Caudate,0.0,0.0
23,Right Accumbens Area,0.0,0.0
101,Left ACgG anterior cingulate gyrus,0.0,0.0
100,Right ACgG anterior cingulate gyrus,0.0,0.0
102,Right AIns anterior insula,0.0,0.0
103,Left AIns anterior insula,0.0,0.0
106,Right AnG angular gyrus,0.0,0.0
107,Left AnG angular gyrus,0.0,0.0
104,Right AOrG anterior orbital gyrus,0.0,0.0
105,Left AOrG anterior orbital gyrus,0.0,0.0
109,Left Calc calcarine cortex,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0
112,Right CO central operculum,0.0,0.0
113,Left CO central operculum,0.0,0.0
115,Left Cun cuneus,0.0,0.0
114,Right Cun cuneus,0.0,0.0
118,Right FO frontal operculum,0.0,0.0
119,Left FO frontal operculum,0.0,0.0
120,Right FRP frontal pole,0.0,0.0
121,Left FRP frontal pole,0.0,0.0
122,Right FuG fusiform gyrus,0.0,0.0
123,Left FuG fusiform gyrus,0.0,0.0
124,Right GRe gyrus rectus,0.0,0.0
125,Left GRe gyrus rectus,0.0,0.0
128,Right IOG inferior occipital gyrus,0.0,0.0
129,Left IOG inferior occipital gyrus,0.0,0.0
132,Right ITG inferior temporal gyrus,0.0,0.0
133,Left ITG inferior temporal gyrus,0.0,0.0
134,Right LiG lingual gyrus,0.0,0.0
135,Left LiG lingual gyrus,0.0,0.0
136,Right LOrG lateral orbital gyrus,0.0,0.0
137,Left LOrG lateral orbital gyrus,0.0,0.0
138,Right MCgG middle cingulate gyrus,0.0,0.0
35,Brain Stem,0.0,0.0
139,Left MCgG middle cingulate gyrus,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0
142,Right MFG middle frontal gyrus,0.0,0.0
141,Left MFC medial frontal cortex,0.0,0.0
144,Right MOG middle occipital gyrus,0.0,0.0
145,Left MOG middle occipital gyrus,0.0,0.0
146,Right MOrG medial orbital gyrus,0.0,0.0
143,Left MFG middle frontal gyrus,0.0,0.0
148,Right MPoG postcentral gyrus medial segment,0.0,0.0
149,Left MPoG postcentral gyrus medial segment,0.0,0.0
150,Right MPrG precentral gyrus medial segment,0.0,0.0
151,Left MPrG precentral gyrus medial segment,0.0,0.0
152,Right MSFG superior frontal gyrus medial segment,0.0,0.0
153,Left MSFG superior frontal gyrus medial segment,0.0,0.0
154,Right MTG middle temporal gyrus,0.0,0.0
147,Left MOrG medial orbital gyrus,0.0,0.0
155,Left MTG middle temporal gyrus,0.0,0.0
156,Right OCP occipital pole,0.0,0.0
160,Right OFuG occipital fusiform gyrus,0.0,0.0
157,Left OCP occipital pole,0.0,0.0
162,Right OpIFG opercular part of the inferior frontal gyrus,0.0,0.0
163,Left OpIFG opercular part of the inferior frontal gyrus,0.0,0.0
164,Right OrIFG orbital part of the inferior frontal gyrus,0.0,0.0
161,Left OFuG occipital fusiform gyrus,0.0,0.0
