ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
31,Right Amygdala,2.32856138122273,870.881956577301
32,Left Amygdala,2.1818520940144857,818.1945352554321
48,Left Hippocampus,1.1578787915227693,1573.5572776794434
117,Left Ent entorhinal area,0.7601835959535552,523.7664976119995
116,Right Ent entorhinal area,0.6437579511522172,428.7427954673767
47,Right Hippocampus,0.575391456535931,838.3453521728516
171,Left PHG parahippocampal gyrus,0.3249313324865026,386.99321699142456
207,Left TTG transverse temporal gyrus,0.1291971129073194,87.3372483253479
200,Right STG superior temporal gyrus,0.0994315231484685,310.12692070007324
173,Left PIns posterior insula,0.04649241782088928,44.121304512023926
59,Right Thalamus Proper,0.039950939644140544,119.45330953598022
202,Right TMP temporal pole,0.03965647273267619,141.85120296478271
203,Left TMP temporal pole,0.024234451420672307,86.08077144622803
154,Right MTG middle temporal gyrus,0.020958818567564763,136.085608959198
58,Left Putamen,0.019788205968162227,34.233596324920654
153,Left MSFG superior frontal gyrus medial segment,0.018791474685261773,56.336841106414795
175,Left PO parietal operculum,0.011924062141326706,12.88991117477417
60,Left Thalamus Proper,0.01167543964004153,36.74260854721069
132,Right ITG inferior temporal gyrus,0.01087626315348609,54.25080060958862
195,Left SMG supramarginal gyrus,0.00877088686256961,35.13617277145386
109,Left Calc calcarine cortex,0.008360032550759771,13.49309253692627
167,Left PCgG posterior cingulate gyrus,0.007088684311685374,13.305460453033447
107,Left AnG angular gyrus,0.006502084690450871,26.827601432800293
35,Brain Stem,0.006312473670104416,43.70756769180298
196,Right SOG superior occipital gyrus,0.005040761601855183,8.619702339172363
170,Right PHG parahippocampal gyrus,0.003974574776582939,4.27266788482666
190,Right SFG superior frontal gyrus,0.002558923500860559,17.556774139404297
100,Right ACgG anterior cingulate gyrus,0.002404533343368702,4.280069351196289
155,Left MTG middle temporal gyrus,0.0013614274231404419,8.729472637176514
168,Right PCu precuneus,0.0008659912989689753,4.390575885772705
198,Right SPL superior parietal lobule,0.0008127206528747756,4.265970706939697
191,Left SFG superior frontal gyrus,0.000630066789261244,4.303356170654297
142,Right MFG middle frontal gyrus,0.0004628169677439361,4.308825969696045
115,Left Cun cuneus,0.0,0.0
113,Left CO central operculum,0.0,0.0
101,Left ACgG anterior cingulate gyrus,0.0,0.0
76,Right Basal Forebrain,0.0,0.0
75,Left Basal Forebrain,0.0,0.0
57,Right Putamen,0.0,0.0
37,Left Caudate,0.0,0.0
105,Left AOrG anterior orbital gyrus,0.0,0.0
102,Right AIns anterior insula,0.0,0.0
104,Right AOrG anterior orbital gyrus,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0
106,Right AnG angular gyrus,0.0,0.0
112,Right CO central operculum,0.0,0.0
36,Right Caudate,0.0,0.0
56,Left Pallidum,0.0,0.0
55,Right Pallidum,0.0,0.0
30,Left Accumbens Area,0.0,0.0
23,Right Accumbens Area,0.0,0.0
139,Left MCgG middle cingulate gyrus,0.0,0.0
138,Right MCgG middle cingulate gyrus,0.0,0.0
137,Left LOrG lateral orbital gyrus,0.0,0.0
136,Right LOrG lateral orbital gyrus,0.0,0.0
135,Left LiG lingual gyrus,0.0,0.0
134,Right LiG lingual gyrus,0.0,0.0
133,Left ITG inferior temporal gyrus,0.0,0.0
129,Left IOG inferior occipital gyrus,0.0,0.0
123,Left FuG fusiform gyrus,0.0,0.0
128,Right IOG inferior occipital gyrus,0.0,0.0
125,Left GRe gyrus rectus,0.0,0.0
124,Right GRe gyrus rectus,0.0,0.0
121,Left FRP frontal pole,0.0,0.0
122,Right FuG fusiform gyrus,0.0,0.0
120,Right FRP frontal pole,0.0,0.0
119,Left FO frontal operculum,0.0,0.0
103,Left AIns anterior insula,0.0,0.0
118,Right FO frontal operculum,0.0,0.0
114,Right Cun cuneus,0.0,0.0
149,Left MPoG postcentral gyrus medial segment,0.0,0.0
148,Right MPoG postcentral gyrus medial segment,0.0,0.0
156,Right OCP occipital pole,0.0,0.0
150,Right MPrG precentral gyrus medial segment,0.0,0.0
151,Left MPrG precentral gyrus medial segment,0.0,0.0
152,Right MSFG superior frontal gyrus medial segment,0.0,0.0
147,Left MOrG medial orbital gyrus,0.0,0.0
145,Left MOG middle occipital gyrus,0.0,0.0
146,Right MOrG medial orbital gyrus,0.0,0.0
144,Right MOG middle occipital gyrus,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0
141,Left MFC medial frontal cortex,0.0,0.0
143,Left MFG middle frontal gyrus,0.0,0.0
172,Right PIns posterior insula,0.0,0.0
169,Left PCu precuneus,0.0,0.0
166,Right PCgG posterior cingulate gyrus,0.0,0.0
161,Left OFuG occipital fusiform gyrus,0.0,0.0
162,Right OpIFG opercular part of the inferior frontal gyrus,0.0,0.0
163,Left OpIFG opercular part of the inferior frontal gyrus,0.0,0.0
164,Right OrIFG orbital part of the inferior frontal gyrus,0.0,0.0
165,Left OrIFG orbital part of the inferior frontal gyrus,0.0,0.0
157,Left OCP occipital pole,0.0,0.0
160,Right OFuG occipital fusiform gyrus,0.0,0.0
181,Left PP planum polare,0.0,0.0
174,Right PO parietal operculum,0.0,0.0
178,Right POrG posterior orbital gyrus,0.0,0.0
179,Left POrG posterior orbital gyrus,0.0,0.0
176,Right PoG postcentral gyrus,0.0,0.0
177,Left PoG postcentral gyrus,0.0,0.0
186,Right SCA subcallosal area,0.0,0.0
187,Left SCA subcallosal area,0.0,0.0
184,Right PT planum temporale,0.0,0.0
185,Left PT planum temporale,0.0,0.0
183,Left PrG precentral gyrus,0.0,0.0
182,Right PrG precentral gyrus,0.0,0.0
180,Right PP planum polare,0.0,0.0
192,Right SMC supplementary motor cortex,0.0,0.0
199,Left SPL superior parietal lobule,0.0,0.0
197,Left SOG superior occipital gyrus,0.0,0.0
193,Left SMC supplementary motor cortex,0.0,0.0
194,Right SMG supramarginal gyrus,0.0,0.0
201,Left STG superior temporal gyrus,0.0,0.0
204,Right TrIFG triangular part of the inferior frontal gyrus,0.0,0.0
205,Left TrIFG triangular part of the inferior frontal gyrus,0.0,0.0
206,Right TTG transverse temporal gyrus,0.0,0.0
