ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
31,Right Amygdala,4.620761447928517e-05,0.017281647815252654
32,Left Amygdala,4.1491460462566466e-05,0.015559297673462424
48,Left Hippocampus,1.8466075857173694e-05,0.025095397089899052
100,Right ACgG anterior cingulate gyrus,1.1845249533058102e-05,0.021084544168843422
116,Right Ent entorhinal area,1.124741727660701e-05,0.0074907799062202685
47,Right Hippocampus,9.932583867718946e-06,0.014471774695266504
171,Left PHG parahippocampal gyrus,9.533417837613745e-06,0.01135430064459797
117,Left Ent entorhinal area,9.47596324620909e-06,0.006528938676638063
200,Right STG superior temporal gyrus,2.346505353788022e-06,0.007318750198464841
193,Left SMC supplementary motor cortex,2.1438310473290467e-06,0.0051730643172049895
136,Right LOrG lateral orbital gyrus,1.7105915587473673e-06,0.0014659769658464938
155,Left MTG middle temporal gyrus,1.6890623719779762e-06,0.010830267929122783
55,Right Pallidum,1.6364128315855966e-06,0.0009229368370142765
151,Left MPrG precentral gyrus medial segment,1.5590646516202344e-06,0.0019441536205704324
119,Left FO frontal operculum,1.4387555435393659e-06,0.0012286972341826186
170,Right PHG parahippocampal gyrus,1.4149547733236538e-06,0.0015210763813229278
138,Right MCgG middle cingulate gyrus,1.3792381758779928e-06,0.002839851404132787
178,Right POrG posterior orbital gyrus,1.353360195609449e-06,0.0013601269965874963
113,Left CO central operculum,1.3486813273722153e-06,0.0023453568283002824
139,Left MCgG middle cingulate gyrus,1.2950433472536522e-06,0.002758442329650279
153,Left MSFG superior frontal gyrus medial segment,1.288968934102066e-06,0.0038643288644379936
201,Left STG superior temporal gyrus,1.1278298145697296e-06,0.0033395040809409693
128,Right IOG inferior occipital gyrus,1.1221649822111942e-06,0.0029423165833577514
57,Right Putamen,1.0615259320296597e-06,0.001771686780557502
145,Left MOG middle occipital gyrus,1.0487266413451723e-06,0.0027885641393368132
187,Left SCA subcallosal area,9.856474305805122e-07,0.0004740964141092263
120,Right FRP frontal pole,9.489413265060037e-07,0.001513561415777076
133,Left ITG inferior temporal gyrus,8.592289178208441e-07,0.004229983962432016
150,Right MPrG precentral gyrus medial segment,8.501702552332736e-07,0.0010049012416857295
146,Right MOrG medial orbital gyrus,7.864105174498887e-07,0.0014005971315782517
157,Left OCP occipital pole,7.094388571211625e-07,0.0010201730765402317
60,Left Thalamus Proper,6.916782428870942e-07,0.0021767114303656854
168,Right PCu precuneus,6.873593283348756e-07,0.003484911794657819
59,Right Thalamus Proper,6.837122076904295e-07,0.0020442995009943843
58,Left Putamen,6.245842381485474e-07,0.001080530731996987
192,Right SMC supplementary motor cortex,6.052613370724864e-07,0.001408443131367676
202,Right TMP temporal pole,6.013854974465534e-07,0.0021511559243663214
163,Left OpIFG opercular part of the inferior frontal gyrus,5.920186378232656e-07,0.0008388904097955674
186,Right SCA subcallosal area,5.86195941294361e-07,0.0002843050315277651
132,Right ITG inferior temporal gyrus,5.806006166584336e-07,0.0028960358758922666
109,Left Calc calcarine cortex,5.803068924800272e-07,0.000936615324462764
112,Right CO central operculum,5.728664485175423e-07,0.00101626507967012
165,Left OrIFG orbital part of the inferior frontal gyrus,5.709952281880032e-07,0.0003408841512282379
144,Right MOG middle occipital gyrus,5.362817479869153e-07,0.0012136055956943892
199,Left SPL superior parietal lobule,5.224235573088367e-07,0.0027296630869386718
107,Left AnG angular gyrus,5.081479245053276e-07,0.002096618336508982
198,Right SPL superior parietal lobule,4.951035100915238e-07,0.0025987983244704083
175,Left PO parietal operculum,4.781901161272551e-07,0.0005169235155335627
190,Right SFG superior frontal gyrus,4.2814020573905e-07,0.002937469951575622
140,Right MFC medial frontal cortex,4.1892850276781247e-07,0.00033514280221424997
195,Left SMG supramarginal gyrus,3.762344774494624e-07,0.0015071953166625462
156,Right OCP occipital pole,3.673885243569325e-07,0.00048385068657808006
152,Right MSFG superior frontal gyrus medial segment,3.4319949734225116e-07,0.0012200742130517028
166,Right PCgG posterior cingulate gyrus,3.3470584277840085e-07,0.0005515952288988046
191,Left SFG superior frontal gyrus,3.269069187979229e-07,0.0022327742553898133
182,Right PrG precentral gyrus,3.2441574066207647e-07,0.0019426014550845139
154,Right MTG middle temporal gyrus,3.188469450924836e-07,0.0020702732144854963
143,Left MFG middle frontal gyrus,2.706184696095685e-07,0.002537048152589705
177,Left PoG postcentral gyrus,2.670828470478121e-07,0.0014491915280814283
135,Left LiG lingual gyrus,2.284746514442787e-07,0.0007315758339245804
162,Right OpIFG opercular part of the inferior frontal gyrus,2.2527467130925761e-07,0.0003289010201115161
185,Left PT planum temporale,2.2095066330047043e-07,0.00019775084365392104
167,Left PCgG posterior cingulate gyrus,2.1121886326372227e-07,0.0003964578063460067
196,Right SOG superior occipital gyrus,2.0690068377220012e-07,0.0003538001692504622
204,Right TrIFG triangular part of the inferior frontal gyrus,1.993956085697327e-07,0.0002793532476061955
105,Left AOrG anterior orbital gyrus,1.9114628483017184e-07,0.00012940603483002633
129,Left IOG inferior occipital gyrus,1.9095933120548672e-07,0.000524947201483883
142,Right MFG middle frontal gyrus,1.6081295728685472e-07,0.0014971686323406175
124,Right GRe gyrus rectus,1.5239625441921895e-07,0.00014172851660987362
197,Left SOG superior occipital gyrus,1.4369208576097062e-07,0.0002074913718388416
169,Left PCu precuneus,1.344414497128901e-07,0.000676643816404976
174,Right PO parietal operculum,1.3358664255597023e-07,0.0001279760035686195
161,Left OFuG occipital fusiform gyrus,1.330373560246479e-07,0.0002175160771002993
56,Left Pallidum,1.2805867625303792e-07,7.15848000254482e-05
106,Right AnG angular gyrus,1.1084900351081745e-07,0.0005243157866061665
203,Left TMP temporal pole,1.0577115095689838e-07,0.00037569912819890305
101,Left ACgG anterior cingulate gyrus,8.824427503310832e-08,0.00019599053484853357
35,Brain Stem,8.629268812033676e-08,0.0005974905725452118
102,Right AIns anterior insula,7.225345103625371e-08,0.0001284666359424591
115,Left Cun cuneus,6.563569820415496e-08,0.0001335030101472512
134,Right LiG lingual gyrus,5.985756292702547e-08,0.00020495229546213523
194,Right SMG supramarginal gyrus,5.757497036187637e-08,0.0002188424623454921
176,Right PoG postcentral gyrus,5.5253648129526816e-08,0.00026278635050402954
160,Right OFuG occipital fusiform gyrus,4.488063400219146e-08,6.821856368333101e-05
205,Left TrIFG triangular part of the inferior frontal gyrus,4.393492291590699e-08,6.581451452802867e-05
103,Left AIns anterior insula,3.8762163917449015e-08,7.046961400192231e-05
147,Left MOrG medial orbital gyrus,3.7498820639910534e-08,6.742287951055914e-05
183,Left PrG precentral gyrus,3.225321618197422e-08,0.00019387408246984705
123,Left FuG fusiform gyrus,0.0,0.0
114,Right Cun cuneus,0.0,0.0
104,Right AOrG anterior orbital gyrus,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0
37,Left Caudate,0.0,0.0
30,Left Accumbens Area,0.0,0.0
