ROI_Name,Normalized_Importance
Right Amygdala,1.0
Left Amygdala,0.8250517273360818
Left Hippocampus,0.47764729654798743
Right Ent entorhinal area,0.28083459953222756
Left Ent entorhinal area,0.3177476885085586
Right Hippocampus,0.33812627345159124
Left PHG parahippocampal gyrus,0.12312114690284665
Right ACgG anterior cingulate gyrus,0.017568530297159993
Left Putamen,0.006848851783112182
Left Thalamus Proper,0.006809497307681868
Right Thalamus Proper,0.013574755646368829
Left Pallidum,0.0
Right Pallidum,0.0
Right Caudate,0.0
Left Caudate,0.0
Right Putamen,0.0
Left Basal Forebrain,0.0
Left Accumbens Area,0.0
Right Accumbens Area,0.0
Left ACgG anterior cingulate gyrus,0.0
Right Basal Forebrain,0.0
Right AIns anterior insula,0.0
Left AIns anterior insula,0.0
Right AnG angular gyrus,0.0
Left AnG angular gyrus,0.0
Right AOrG anterior orbital gyrus,0.0
Left AOrG anterior orbital gyrus,0.0
Left Calc calcarine cortex,0.0
Right Calc calcarine cortex,0.0
Right CO central operculum,0.0
Left CO central operculum,0.0
Left Cun cuneus,0.0
Right Cun cuneus,0.0
Right FO frontal operculum,0.0
Left FO frontal operculum,0.0
Right FRP frontal pole,0.0
Left FRP frontal pole,0.0
Right FuG fusiform gyrus,0.0
Left FuG fusiform gyrus,0.0
Right GRe gyrus rectus,0.0
Left GRe gyrus rectus,0.0
Right IOG inferior occipital gyrus,0.0
Left IOG inferior occipital gyrus,0.0
Right ITG inferior temporal gyrus,0.0
Left ITG inferior temporal gyrus,0.0
Right LiG lingual gyrus,0.0
Left LiG lingual gyrus,0.0
Right LOrG lateral orbital gyrus,0.0
Left LOrG lateral orbital gyrus,0.0
Right MCgG middle cingulate gyrus,0.0
Brain Stem,0.0
Left MCgG middle cingulate gyrus,0.0
Right MFC medial frontal cortex,0.0
Right MFG middle frontal gyrus,0.0
Left MFC medial frontal cortex,0.0
Right MOG middle occipital gyrus,0.0
Left MOG middle occipital gyrus,0.0
Right MOrG medial orbital gyrus,0.0013373138231686527
Left MFG middle frontal gyrus,0.0
Right MPoG postcentral gyrus medial segment,0.0
Left MPoG postcentral gyrus medial segment,0.0
Right MPrG precentral gyrus medial segment,0.0
Left MPrG precentral gyrus medial segment,0.0
Right MSFG superior frontal gyrus medial segment,0.0
Left MSFG superior frontal gyrus medial segment,0.001325559427093014
Right MTG middle temporal gyrus,0.0
Left MOrG medial orbital gyrus,0.0
Left MTG middle temporal gyrus,0.0
Right OCP occipital pole,0.0
Right OFuG occipital fusiform gyrus,0.0
Left OCP occipital pole,0.0
Right OpIFG opercular part of the inferior frontal gyrus,0.0
Left OpIFG opercular part of the inferior frontal gyrus,0.0
Right OrIFG orbital part of the inferior frontal gyrus,0.0
Left OFuG occipital fusiform gyrus,0.0
Left OrIFG orbital part of the inferior frontal gyrus,0.0
Right PCgG posterior cingulate gyrus,0.0
Right PCu precuneus,0.0
Left PCgG posterior cingulate gyrus,0.0
Left PCu precuneus,0.0
Right PHG parahippocampal gyrus,0.0
Right PIns posterior insula,0.0
Left PIns posterior insula,0.0
Right PO parietal operculum,0.0
Left PO parietal operculum,0.0
Right PoG postcentral gyrus,0.0
Left PoG postcentral gyrus,0.0
Right POrG posterior orbital gyrus,0.0
Left POrG posterior orbital gyrus,0.0
Right PP planum polare,0.0
Left PP planum polare,0.0
Right PrG precentral gyrus,0.0
Left PrG precentral gyrus,0.0
Right PT planum temporale,0.0
Left PT planum temporale,0.0
Right SCA subcallosal area,0.0
Left SCA subcallosal area,0.0
Right SFG superior frontal gyrus,0.0
Left SFG superior frontal gyrus,0.0
Right SMC supplementary motor cortex,0.0
Left SMC supplementary motor cortex,0.0
Right SMG supramarginal gyrus,0.0
Left SMG supramarginal gyrus,0.006930371918018469
Right SOG superior occipital gyrus,0.0
Left SOG superior occipital gyrus,0.0
Right SPL superior parietal lobule,0.0
Left SPL superior parietal lobule,0.0
Right STG superior temporal gyrus,0.002685458094164402
Left STG superior temporal gyrus,0.0
Right TMP temporal pole,0.0
Left TMP temporal pole,0.02338065704704133
Right TrIFG triangular part of the inferior frontal gyrus,0.0
Left TrIFG triangular part of the inferior frontal gyrus,0.0
Right TTG transverse temporal gyrus,0.0
Left TTG transverse temporal gyrus,0.0
