ROI_Name,Normalized_Importance
Right Amygdala,1.0
Left Amygdala,0.9239201902174792
Right Ent entorhinal area,0.42167610442873504
Left Hippocampus,0.32445525963403354
Left Ent entorhinal area,0.38309444749299676
Right Hippocampus,0.2037626339604396
Left PHG parahippocampal gyrus,0.13282442780992273
Right ACgG anterior cingulate gyrus,0.055940445216798786
Right STG superior temporal gyrus,0.014850195002645243
Right TMP temporal pole,0.009551296231859985
Right POrG posterior orbital gyrus,0.0044198109101439365
Right MCgG middle cingulate gyrus,0.003522625067252651
Right PHG parahippocampal gyrus,0.013500939403835914
Right Thalamus Proper,0.009172635527286008
Left Thalamus Proper,0.005801095470667299
Left Putamen,0.00521171029906116
Right Pallidum,0.0018180771681250646
Left ITG inferior temporal gyrus,0.0029258471834197183
Right ITG inferior temporal gyrus,0.0017716474836321685
Left MTG middle temporal gyrus,0.0016745721156268883
Right IOG inferior occipital gyrus,0.001128161103678539
Left SMC supplementary motor cortex,0.0034581909748016295
Right Putamen,0.0004548393974461675
Left TMP temporal pole,0.011617114183693785
Left OrIFG orbital part of the inferior frontal gyrus,0.0004134305788652235
Left MPrG precentral gyrus medial segment,0.002583091163889081
Left PCgG posterior cingulate gyrus,0.003300995998038805
Left MSFG superior frontal gyrus medial segment,0.0033666768906475478
Right PCgG posterior cingulate gyrus,0.008000614419019204
Right PCu precuneus,0.0010581974142576263
Left STG superior temporal gyrus,0.0007934355341468818
Right MOrG medial orbital gyrus,0.0023829862889287344
Right GRe gyrus rectus,0.0002577329220179946
Left SMG supramarginal gyrus,0.005772330584339807
Right PrG precentral gyrus,0.000507445617456242
Left MCgG middle cingulate gyrus,0.0018098722606072473
Left MOG middle occipital gyrus,0.00046790719362571354
Right LiG lingual gyrus,7.475282811571327e-05
Left SPL superior parietal lobule,0.00023750519517400505
Left PoG postcentral gyrus,0.001066293906186216
Right MFG middle frontal gyrus,0.00018427582952954124
Left ACgG anterior cingulate gyrus,0.000680970728812426
Right Basal Forebrain,0.0
Right Accumbens Area,0.0
Left Calc calcarine cortex,0.0012428962813153391
Left Basal Forebrain,0.0017257189301254862
Left Pallidum,0.0
Left Caudate,0.0
Right Caudate,0.0
Brain Stem,0.009566050879428405
Left Accumbens Area,0.0
Right LOrG lateral orbital gyrus,0.0
Left LOrG lateral orbital gyrus,0.00027834408370619744
Left LiG lingual gyrus,0.0
Left FRP frontal pole,0.00017115710036497
Left FuG fusiform gyrus,7.881307729924679e-05
Right FuG fusiform gyrus,0.0
Left GRe gyrus rectus,0.0
Left IOG inferior occipital gyrus,0.0
Right FRP frontal pole,0.0001555325523738328
Right Calc calcarine cortex,0.0
Right CO central operculum,0.00013509673342257432
Left CO central operculum,0.00013914005173893296
Left Cun cuneus,0.00011748997063751547
Right Cun cuneus,0.0
Right FO frontal operculum,0.0
Left FO frontal operculum,0.0
Left AOrG anterior orbital gyrus,0.0
Right AOrG anterior orbital gyrus,0.0
Left AnG angular gyrus,0.00037271828662016013
Right AnG angular gyrus,0.0001536023772104897
Left AIns anterior insula,0.0007147693127334283
Right AIns anterior insula,0.0001410287885392396
Right MPoG postcentral gyrus medial segment,0.0
Left MFC medial frontal cortex,0.0
Right MTG middle temporal gyrus,0.0021312894517595115
Right MSFG superior frontal gyrus medial segment,0.00020518196395480438
Left MPoG postcentral gyrus medial segment,0.0
Right MPrG precentral gyrus medial segment,0.0
Left MOrG medial orbital gyrus,0.0
Right MOG middle occipital gyrus,0.00022045935161274467
Left MFG middle frontal gyrus,0.002894435772668008
Right MFC medial frontal cortex,0.0
Left PIns posterior insula,0.002919396360698753
Right PIns posterior insula,0.0
Left PCu precuneus,0.0
Left OCP occipital pole,0.0
Left OFuG occipital fusiform gyrus,0.00014706852760319145
Right OpIFG opercular part of the inferior frontal gyrus,0.0
Left OpIFG opercular part of the inferior frontal gyrus,0.0
Right OrIFG orbital part of the inferior frontal gyrus,0.0012136841353885108
Right OCP occipital pole,0.0
Right OFuG occipital fusiform gyrus,0.0
Left PP planum polare,0.0005529320539695768
Left PO parietal operculum,0.0006835217045687894
Right PoG postcentral gyrus,5.1110793732262266e-05
Left POrG posterior orbital gyrus,0.0
Right PP planum polare,0.0
Right PO parietal operculum,0.0
Left SFG superior frontal gyrus,0.0001431677139942874
Right SFG superior frontal gyrus,0.00029161548975505455
Left SCA subcallosal area,0.002094502469792782
Right SCA subcallosal area,0.0015478899021710607
Left PT planum temporale,0.0
Right PT planum temporale,0.0
Left PrG precentral gyrus,0.0010485348897570725
Right SMC supplementary motor cortex,0.00010827373820458212
Right SPL superior parietal lobule,0.0016597111844505429
Left SOG superior occipital gyrus,0.0
Right SOG superior occipital gyrus,0.00028895102370219637
Right SMG supramarginal gyrus,0.0
Right TrIFG triangular part of the inferior frontal gyrus,0.0
Left TrIFG triangular part of the inferior frontal gyrus,0.0
Right TTG transverse temporal gyrus,0.0007551597905702724
Left TTG transverse temporal gyrus,0.013289884118794728
