ROI_Name,Normalized_Importance
Right Amygdala,0.8481981613827602
Left Amygdala,0.7857627740042203
Right Ent entorhinal area,0.6369112862371165
Left Hippocampus,1.0
Left Ent entorhinal area,0.5986194228172683
Right Hippocampus,0.673301872438044
Left PHG parahippocampal gyrus,0.3587694375053917
Right ACgG anterior cingulate gyrus,0.22582480574353667
Right STG superior temporal gyrus,0.10504448490869071
Right TMP temporal pole,0.0774830984917295
Right POrG posterior orbital gyrus,0.010073849906635743
Right MCgG middle cingulate gyrus,0.016449340568932692
Right PHG parahippocampal gyrus,0.032915327213152955
Right Thalamus Proper,0.062200095299309484
Left Thalamus Proper,0.041403063844852345
Left Putamen,0.020448059228473956
Right Pallidum,0.002325504270449704
Left ITG inferior temporal gyrus,0.032666845577018634
Right ITG inferior temporal gyrus,0.020041465758067305
Left MTG middle temporal gyrus,0.024351352837356552
Right IOG inferior occipital gyrus,0.006708563486425173
Left SMC supplementary motor cortex,0.018924831416134373
Right Putamen,0.0017216312484633481
Left TMP temporal pole,0.09358299490235503
Left OrIFG orbital part of the inferior frontal gyrus,0.0005597610185592968
Left MPrG precentral gyrus medial segment,0.007305196658665189
Left PCgG posterior cingulate gyrus,0.01405189820314363
Left MSFG superior frontal gyrus medial segment,0.022890685100411763
Right PCgG posterior cingulate gyrus,0.02990241554373828
Right PCu precuneus,0.012167472681409839
Left STG superior temporal gyrus,0.005328141849810356
Right MOrG medial orbital gyrus,0.009625231584964969
Right GRe gyrus rectus,0.0005435989017182525
Left SMG supramarginal gyrus,0.052443040735971044
Right PrG precentral gyrus,0.006891234398641726
Left MCgG middle cingulate gyrus,0.00874285451781141
Left MOG middle occipital gyrus,0.002821654167698897
Right LiG lingual gyrus,0.0005804797960344227
Left SPL superior parietal lobule,0.0028143955348848885
Left PoG postcentral gyrus,0.013121468469762048
Right MFG middle frontal gyrus,0.0038908436585143643
Left ACgG anterior cingulate gyrus,0.0034300679807968155
Right Basal Forebrain,0.0
Right Accumbens Area,0.0
Left Calc calcarine cortex,0.004549504967193156
Left Basal Forebrain,0.0005831523848015596
Left Pallidum,0.0
Left Caudate,0.0
Right Caudate,0.0
Brain Stem,0.15021574989047123
Left Accumbens Area,0.0
Right LOrG lateral orbital gyrus,0.0
Left LOrG lateral orbital gyrus,0.0005397266142428281
Left LiG lingual gyrus,0.0
Left FRP frontal pole,0.0005446008512982687
Left FuG fusiform gyrus,0.0005610677745542692
Right FuG fusiform gyrus,0.0
Left GRe gyrus rectus,0.0
Left IOG inferior occipital gyrus,0.0
Right FRP frontal pole,0.000562610341735431
Right Calc calcarine cortex,0.0
Right CO central operculum,0.0005435308363443208
Left CO central operculum,0.0005487537069726137
Left Cun cuneus,0.0005419727715825734
Right Cun cuneus,0.0
Right FO frontal operculum,0.0
Left FO frontal operculum,0.0
Left AOrG anterior orbital gyrus,0.0
Right AOrG anterior orbital gyrus,0.0
Left AnG angular gyrus,0.00348767211589132
Right AnG angular gyrus,0.00164772527034124
Left AIns anterior insula,0.0029470364135713444
Right AIns anterior insula,0.0005686764667185442
Right MPoG postcentral gyrus medial segment,0.0
Left MFC medial frontal cortex,0.0
Right MTG middle temporal gyrus,0.03138438067582694
Right MSFG superior frontal gyrus medial segment,0.001654262831725765
Left MPoG postcentral gyrus medial segment,0.0
Right MPrG precentral gyrus medial segment,0.0
Left MOrG medial orbital gyrus,0.0
Right MOG middle occipital gyrus,0.0011314589555791194
Left MFG middle frontal gyrus,0.06154048547670854
Right MFC medial frontal cortex,0.0
Left PIns posterior insula,0.006283259539016312
Right PIns posterior insula,0.0
Left PCu precuneus,0.0
Left OCP occipital pole,0.0
Left OFuG occipital fusiform gyrus,0.0005453348167147996
Right OpIFG opercular part of the inferior frontal gyrus,0.0
Left OpIFG opercular part of the inferior frontal gyrus,0.0
Right OrIFG orbital part of the inferior frontal gyrus,0.001640505381478695
Right OCP occipital pole,0.0
Right OFuG occipital fusiform gyrus,0.0
Left PP planum polare,0.0011198218843077624
Left PO parietal operculum,0.0016757287785560807
Right PoG postcentral gyrus,0.0005512901030015649
Left POrG posterior orbital gyrus,0.0
Right PP planum polare,0.0
Right PO parietal operculum,0.0
Left SFG superior frontal gyrus,0.00221764241137114
Right SFG superior frontal gyrus,0.004537574123784219
Left SCA subcallosal area,0.0022848183481578507
Right SCA subcallosal area,0.0017025800106592259
Left PT planum temporale,0.0
Right PT planum temporale,0.0
Left PrG precentral gyrus,0.014294051371250689
Right SMC supplementary motor cortex,0.0005714065825048146
Right SPL superior parietal lobule,0.019757628623478685
Left SOG superior occipital gyrus,0.0
Right SOG superior occipital gyrus,0.0011205882706628784
Right SMG supramarginal gyrus,0.0
Right TrIFG triangular part of the inferior frontal gyrus,0.0
Left TrIFG triangular part of the inferior frontal gyrus,0.0
Right TTG transverse temporal gyrus,0.0011063616156660008
Left TTG transverse temporal gyrus,0.020374812207478346
