ROI_Name,Normalized_Importance
Left Amygdala,1.0
Right Amygdala,0.9826794006710348
Right Ent entorhinal area,0.8079240492035243
Left Ent entorhinal area,0.7676111326201775
Left Hippocampus,0.4074576213377322
Left PHG parahippocampal gyrus,0.2951418881594956
Left Accumbens Area,0.2116788391589529
Right PHG parahippocampal gyrus,0.28757973834188316
Right TMP temporal pole,0.2512349922324139
Right Hippocampus,0.34692567355582765
Right Accumbens Area,0.14158683600925223
Left TMP temporal pole,0.20665867457437598
Left ITG inferior temporal gyrus,0.14038620454125433
Right ITG inferior temporal gyrus,0.14186859761516726
Right FuG fusiform gyrus,0.11844923207602613
Left FuG fusiform gyrus,0.10986454887664117
Right MTG middle temporal gyrus,0.13119185022637583
Left Basal Forebrain,0.10642164822317025
Left MTG middle temporal gyrus,0.09668396303174752
Right ACgG anterior cingulate gyrus,0.064200617739409
Right Putamen,0.04754059167474514
Right AIns anterior insula,0.041862747165897427
Right STG superior temporal gyrus,0.07982351448308031
Right Basal Forebrain,0.0843987061897801
Left Putamen,0.03760182062558083
Right Thalamus Proper,0.053871004694140544
Left Thalamus Proper,0.040236426526066814
Left STG superior temporal gyrus,0.045871516186002964
Left PIns posterior insula,0.02856280084949852
Left AIns anterior insula,0.030516235047259307
Left MPrG precentral gyrus medial segment,0.024931953786272647
Right SCA subcallosal area,0.02692783967998656
Right MCgG middle cingulate gyrus,0.01813641951348167
Left MCgG middle cingulate gyrus,0.019230832866811706
Right FO frontal operculum,0.007006786459189441
Left MOG middle occipital gyrus,0.014090038620658713
Left PCgG posterior cingulate gyrus,0.016138186161642462
Left ACgG anterior cingulate gyrus,0.012812731014512368
Right PCgG posterior cingulate gyrus,0.020240017540242822
Left MOrG medial orbital gyrus,0.007304428687993518
Left PoG postcentral gyrus,0.006091030601275638
Left GRe gyrus rectus,0.005866185975167754
Left MSFG superior frontal gyrus medial segment,0.015740219055186012
Right IOG inferior occipital gyrus,0.007854151720493772
Right MOrG medial orbital gyrus,0.008112347795600772
Left AnG angular gyrus,0.021331062115101735
Right PIns posterior insula,0.009835609624283733
Right AnG angular gyrus,0.02158823616798409
Left SMC supplementary motor cortex,0.004961961220499604
Left MFG middle frontal gyrus,0.008424408170555083
Brain Stem,0.0009450230397780606
Right PCu precuneus,0.005476557458703534
Right MOG middle occipital gyrus,0.011674470036774196
Right Pallidum,0.0024321174192580724
Right MSFG superior frontal gyrus medial segment,0.0047854820644999815
Right PoG postcentral gyrus,0.0033320000710640083
Left PCu precuneus,0.005475517019016865
Left PrG precentral gyrus,0.0025624021450153856
Right SMG supramarginal gyrus,0.010437059981454597
Left SCA subcallosal area,0.002122032990289261
Left Pallidum,0.002282753359298501
Left FO frontal operculum,0.0012959145259618704
Left PP planum polare,0.00539063272896112
Right MPrG precentral gyrus medial segment,0.0016290351563109362
Right Caudate,0.00033310659727447305
Left POrG posterior orbital gyrus,0.0012649556057486642
Right FRP frontal pole,0.000816001151027734
Right PrG precentral gyrus,0.0023479012569179595
Left Caudate,0.00040505792169846387
Right GRe gyrus rectus,0.0013597280189302945
Left Cun cuneus,0.005003902298040547
Left SMG supramarginal gyrus,0.0177153714844706
Left LiG lingual gyrus,0.005178437925845355
Right PP planum polare,0.0003926980225491495
Left IOG inferior occipital gyrus,0.0008218894356171332
Left SFG superior frontal gyrus,0.0009975462793106852
Right LiG lingual gyrus,0.0008809957999816353
Right AOrG anterior orbital gyrus,0.000417502111295289
Right Calc calcarine cortex,0.0028812373740865157
Left Calc calcarine cortex,0.00018054629081129696
Right Cun cuneus,0.0
Right CO central operculum,0.0010640677402963062
Left CO central operculum,0.0
Right LOrG lateral orbital gyrus,0.0013059854625133871
Left LOrG lateral orbital gyrus,0.0
Left FRP frontal pole,7.437629573169714e-05
Left AOrG anterior orbital gyrus,0.0
Right OpIFG opercular part of the inferior frontal gyrus,0.0
Left OCP occipital pole,0.0006412821808600146
Right OFuG occipital fusiform gyrus,0.0
Left OFuG occipital fusiform gyrus,0.0003085063082031436
Left MFC medial frontal cortex,0.0007749214372336386
Right MFC medial frontal cortex,0.0
Right MPoG postcentral gyrus medial segment,0.0
Right MFG middle frontal gyrus,5.1085180835464275e-05
Left MPoG postcentral gyrus medial segment,0.0
Left OpIFG opercular part of the inferior frontal gyrus,0.0
Right OrIFG orbital part of the inferior frontal gyrus,0.0
Left OrIFG orbital part of the inferior frontal gyrus,0.0
Right OCP occipital pole,0.00014709316317267117
Left PT planum temporale,0.0006398180281802396
Right SFG superior frontal gyrus,0.0002181225426984537
Right POrG posterior orbital gyrus,0.0008175785599608071
Right PO parietal operculum,0.0
Left PO parietal operculum,0.0
Right PT planum temporale,0.0
Right SMC supplementary motor cortex,0.0
Left SPL superior parietal lobule,0.00012577785597642465
Right SPL superior parietal lobule,0.0004879695058840351
Left SOG superior occipital gyrus,0.0001428259596276782
Right SOG superior occipital gyrus,0.0
Right TrIFG triangular part of the inferior frontal gyrus,0.0
Left TrIFG triangular part of the inferior frontal gyrus,0.0
Right TTG transverse temporal gyrus,0.0
Left TTG transverse temporal gyrus,0.0004204977371843277
