ROI_Name,Normalized_Importance
Left Amygdala,0.7870693149832326
Right Amygdala,0.765446965655486
Right Ent entorhinal area,1.0
Left Ent entorhinal area,0.9753150873271381
Left Hippocampus,0.709881189939928
Right Hippocampus,0.6268554767392818
Left PHG parahippocampal gyrus,0.43065861957127294
Right PHG parahippocampal gyrus,0.2761099395054901
Right TMP temporal pole,0.6951165775534459
Left Basal Forebrain,0.020981093995703352
Left TMP temporal pole,0.40292096407502653
Right Basal Forebrain,0.012388669074946653
Right ITG inferior temporal gyrus,0.37551642512072253
Left ITG inferior temporal gyrus,0.1657323322041272
Right MTG middle temporal gyrus,0.19465327630686935
Left FuG fusiform gyrus,0.0744814574727174
Right STG superior temporal gyrus,0.061220516334306446
Left AIns anterior insula,0.03501281458756494
Right FuG fusiform gyrus,0.047320793002576585
Left Putamen,0.01143199725769712
Right Thalamus Proper,0.011052836892222917
Left Thalamus Proper,0.009429955890464668
Left MTG middle temporal gyrus,0.018861649176239104
Left PIns posterior insula,0.0025362602157277913
Right Putamen,0.0038888650700458455
Left PCgG posterior cingulate gyrus,0.004055204393694029
Right AIns anterior insula,0.0026517153103987343
Left STG superior temporal gyrus,0.0037894479086685866
Right PCgG posterior cingulate gyrus,0.0012391312859684593
Left ACgG anterior cingulate gyrus,0.0
Brain Stem,0.0
Left Caudate,0.0
Right ACgG anterior cingulate gyrus,0.0
Right Pallidum,0.0
Left AOrG anterior orbital gyrus,0.0
Left FO frontal operculum,0.0
Right FO frontal operculum,0.0
Right Cun cuneus,0.0
Left Cun cuneus,0.0
Right GRe gyrus rectus,0.0
Right Caudate,0.0
Left Pallidum,0.0
Left Accumbens Area,0.0
Left Calc calcarine cortex,0.0
Right Calc calcarine cortex,0.0
Right CO central operculum,0.0
Left CO central operculum,0.0
Right AnG angular gyrus,0.0
Left AnG angular gyrus,0.0
Right AOrG anterior orbital gyrus,0.0
Right Accumbens Area,0.0
Left MCgG middle cingulate gyrus,0.0
Right MCgG middle cingulate gyrus,0.0
Left LOrG lateral orbital gyrus,0.0
Right LOrG lateral orbital gyrus,0.0
Left LiG lingual gyrus,0.0
Right LiG lingual gyrus,0.0
Right IOG inferior occipital gyrus,0.0
Left IOG inferior occipital gyrus,0.0
Right FRP frontal pole,0.0
Left FRP frontal pole,0.0
Left GRe gyrus rectus,0.0
Left MFC medial frontal cortex,0.0
Left MOrG medial orbital gyrus,0.0
Right MOrG medial orbital gyrus,0.0
Right MPoG postcentral gyrus medial segment,0.0
Right MFC medial frontal cortex,0.0
Right MSFG superior frontal gyrus medial segment,0.0
Left MSFG superior frontal gyrus medial segment,0.0
Right MPrG precentral gyrus medial segment,0.0
Left MPrG precentral gyrus medial segment,0.0
Left MPoG postcentral gyrus medial segment,0.0
Right OCP occipital pole,0.0
Right OFuG occipital fusiform gyrus,0.0
Left OCP occipital pole,0.0
Left OrIFG orbital part of the inferior frontal gyrus,0.0
Right OrIFG orbital part of the inferior frontal gyrus,0.0
Left OpIFG opercular part of the inferior frontal gyrus,0.0
Right OpIFG opercular part of the inferior frontal gyrus,0.0
Right MOG middle occipital gyrus,0.0
Left MOG middle occipital gyrus,0.0
Right MFG middle frontal gyrus,0.0
Left MFG middle frontal gyrus,0.0
Right PIns posterior insula,0.0
Left PCu precuneus,0.0
Right PCu precuneus,0.0
Left OFuG occipital fusiform gyrus,0.0
Right PO parietal operculum,0.0
Left PO parietal operculum,0.0
Right PoG postcentral gyrus,0.0
Left PoG postcentral gyrus,0.0
Right PrG precentral gyrus,0.0
Left PrG precentral gyrus,0.0
Right PT planum temporale,0.0
Left PT planum temporale,0.0
Right POrG posterior orbital gyrus,0.0
Left POrG posterior orbital gyrus,0.0
Right PP planum polare,0.0
Left PP planum polare,0.0
Left SFG superior frontal gyrus,0.0
Right SFG superior frontal gyrus,0.0
Left SCA subcallosal area,0.0
Right SCA subcallosal area,0.0
Right SMC supplementary motor cortex,0.0
Left SMC supplementary motor cortex,0.0
Right SMG supramarginal gyrus,0.0
Left SMG supramarginal gyrus,0.0
Left SPL superior parietal lobule,0.0
Right SPL superior parietal lobule,0.0
Left SOG superior occipital gyrus,0.0
Right SOG superior occipital gyrus,0.0
Right TrIFG triangular part of the inferior frontal gyrus,0.0
Left TrIFG triangular part of the inferior frontal gyrus,0.0
Right TTG transverse temporal gyrus,0.0
Left TTG transverse temporal gyrus,0.0
