,VBM (Ground Truth),SVM Raw Weights (Top 1%) (F1),SVM Raw Weights (Top 1%) (F2),SVM Raw Weights (Top 1%) (F3),SVM Raw Weights (Top 1%) (F4),SVM Raw Weights (Top 1%) (F5),SVM Raw Weights (Top 5%) (F1),SVM Raw Weights (Top 5%) (F2),SVM Raw Weights (Top 5%) (F3),SVM Raw Weights (Top 5%) (F4),SVM Raw Weights (Top 5%) (F5),SVM Haufe (Top 1%) (F1),SVM Haufe (Top 1%) (F2),SVM Haufe (Top 1%) (F3),SVM Haufe (Top 1%) (F4),SVM Haufe (Top 1%) (F5),SVM Haufe (Top 5%) (F1),SVM Haufe (Top 5%) (F2),SVM Haufe (Top 5%) (F3),SVM Haufe (Top 5%) (F4),SVM Haufe (Top 5%) (F5),SVM Gaonkar (FDR 0.1) (F1),SVM Gaonkar (FDR 0.1) (F2),SVM Gaonkar (FDR 0.1) (F3),SVM Gaonkar (FDR 0.1) (F4),SVM Gaonkar (FDR 0.1) (F5),SVM Gaonkar (Bonf 0.05) (F1),SVM Gaonkar (Bonf 0.05) (F2),SVM Gaonkar (Bonf 0.05) (F3),SVM Gaonkar (Bonf 0.05) (F4),SVM Gaonkar (Bonf 0.05) (F5)
VBM (Ground Truth),1.0,0.92909636023676,0.9125967043742563,0.8316717849880554,0.9523812065976746,0.7766124107775092,0.9579512046568432,0.9724005685461533,0.957333342447029,0.9658974472122057,0.9219423087266027,0.9982563376039602,0.9985271410625977,0.9961517680108324,0.9962249331760493,0.9991498911522205,0.993536681053178,0.9956878524642659,0.9943422615995011,0.9947214354489831,0.9976102948732782,0.9783108293228419,0.9840041282821185,0.9795587511197168,0.9878601367443126,0.9642558173547219,0.9607958670871892,0.9718218330654427,0.9694864398718894,0.9681423435745167,0.9400217888639381
SVM Raw Weights (Top 1%) (F1),0.9430338314336504,1.0,0.904264067300923,0.9251020221872344,0.9429289941300234,0.847755416876463,0.9807228284437932,0.9665482415844693,0.9884895181871463,0.9447869406199383,0.9459635641328028,0.9521929702000214,0.9492686520487343,0.9676364615514261,0.969651651054304,0.9511274326991231,0.9472460411723411,0.9450453579217412,0.9662432081312206,0.9663697174879692,0.9501967865900376,0.9876967255007932,0.9579097563580439,0.9796231790805079,0.9756179430447249,0.9708768230914291,0.983508857881193,0.9456487742371719,0.9788152963413531,0.9607626406824137,0.9628801519960666
SVM Raw Weights (Top 1%) (F2),0.9263711419037863,0.8419710464056711,1.0,0.7734570086495877,0.7870936650183082,0.7995218975970503,0.9422023692505729,0.9800301333973616,0.8602032263620027,0.7990217031672422,0.8118454151593085,0.9431560094081496,0.9413246917545953,0.8378527055447154,0.8358681750686927,0.9283734373875371,0.9220243705750041,0.9397953263598338,0.8360081868667142,0.8360722252446668,0.9291848227510962,0.8465591900563066,0.9706575801409754,0.8484023811618497,0.8462351072408865,0.8583730959061598,0.8400409872568936,0.9589745274675119,0.8334676418362433,0.8249891065074552,0.8472627287285851
SVM Raw Weights (Top 1%) (F3),0.7932550513733909,0.9305910722997769,0.8194650062846706,1.0,0.9001980195551252,0.9043281281736435,0.8583787680796812,0.8529934069121394,0.9478124276448896,0.8985146618355692,0.9003074745920705,0.8137407567253025,0.8057956229079754,0.8694472131392256,0.865204415140752,0.806842543942442,0.8045034904389265,0.7947486290756857,0.8614907340836315,0.8600794570493507,0.8058180248637518,0.8965744746042087,0.8360959261006566,0.9227964156450582,0.8941771867515813,0.8784328757400154,0.8995117444697409,0.8089422446778194,0.8972126400866572,0.8523556093423681,0.8679884943862792
SVM Raw Weights (Top 1%) (F4),0.848375832688104,0.9597623257074254,0.7636081954112078,0.9288906658676114,1.0,0.7925759757747005,0.8545048772007027,0.8481045352979647,0.9704006931258761,0.9936298515469243,0.958766773891423,0.8422204567198511,0.8440678337319057,0.9655732766514091,0.9657497316896495,0.8492099042964762,0.8483239198344401,0.839868804462409,0.9660990168758923,0.9683482632176382,0.85180867199554,0.9708930940699492,0.8468254325207502,0.9725691786419203,0.986216659061408,0.9578419863189542,0.9614111246664689,0.8331793235907713,0.9666038820518439,0.9639667668667773,0.9460241281541819
SVM Raw Weights (Top 1%) (F5),0.8192623614827474,0.8945839658764292,0.8422006333765607,0.9224242342572585,0.8644753011526641,1.0,0.8670115614299587,0.856182614708168,0.8952665891392945,0.8524510091754214,0.9496351824072479,0.8194056303382027,0.8209472564443361,0.8519401942312879,0.8529329797412241,0.8213121016764535,0.8128785567650327,0.819414748343114,0.8537756875148655,0.8568645476000826,0.8247145084352241,0.8734750465804181,0.8388051936404157,0.8740349207729751,0.8679800663814231,0.920144366883594,0.8854280201388314,0.8430070109498801,0.8660260128569474,0.8586325380228164,0.8901571083067473
SVM Raw Weights (Top 5%) (F1),0.9524709084836362,0.990669612002667,0.9330211095123755,0.930550272463355,0.9501042742396174,0.8977357867552063,1.0,0.9821007030135382,0.9809419470720668,0.95700367050014,0.94993968563754,0.9599795732337096,0.956555533461959,0.9596165423314563,0.9614778695886539,0.959544265030534,0.9534688854620662,0.9530424971843888,0.9578243469129993,0.957982659025493,0.959114665910343,0.9834169156535848,0.970741841318798,0.9706992626886142,0.9662560660090451,0.9595031263164708,0.9683791192920242,0.951204888090766,0.9663410555807708,0.9506887331462223,0.9494829620850542
SVM Raw Weights (Top 5%) (F2),0.9527303602536574,0.9415823163413651,0.9737581641925842,0.8979443659781736,0.9241084092311446,0.8885731355693826,0.9753455669621829,1.0,0.9601614490607191,0.9364517131839539,0.9305302745028897,0.9611270842417913,0.9586612755907853,0.9373950810768774,0.9354710766992633,0.9557847283047706,0.9485339696040478,0.9563499876658315,0.9325002375483488,0.9331030640373167,0.9547885894265871,0.9503357742104069,0.9849100449436807,0.9491778544218834,0.9438247223579641,0.944204739884312,0.9362685356924414,0.9623806545860268,0.9355506196922955,0.923104123915308,0.9232737744584176
SVM Raw Weights (Top 5%) (F3),0.9294246365771742,0.9717725464206451,0.9273969774056662,0.9679133703566586,0.9626484323206235,0.9210713473987645,0.9629104262187582,0.9669959705047568,1.0,0.9685659120928307,0.9561249456333757,0.9381150358234254,0.934663992283745,0.9519199448991403,0.9484647017493343,0.9362203944420457,0.9301636960744466,0.9280323490141178,0.9461142756040556,0.9446575044381689,0.9342502613883431,0.9687609620944296,0.955083459200276,0.9808343304378984,0.9651887536698354,0.9502638286847086,0.959796146091874,0.9315743797484554,0.9568856284132284,0.9360107512694635,0.9315518121021581
SVM Raw Weights (Top 5%) (F4),0.9284272013087006,0.96120775555301,0.8876027592960758,0.9238823396244009,0.9922369211437223,0.8681637588556228,0.9423501689196586,0.942637795348091,0.9744343643577569,1.0,0.9565064103684024,0.9298465840997199,0.9292395524685493,0.9660504784286033,0.9668900432221613,0.9316814796603841,0.9274897928677224,0.9250953198442008,0.9639029824740917,0.966259707296058,0.9331836798236983,0.9730604927444579,0.9404603298377778,0.9741704723378568,0.9856932207996347,0.956647589683167,0.960190018411472,0.9169485583101757,0.9633959043704706,0.9551992028063215,0.9388627160739198
