ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
31,Right Amygdala,-4.235828604831181e-05,-0.015841998982068617,4.235828604831181e-05
32,Left Amygdala,-3.671883955636683e-05,-0.01376956483363756,3.671883955636683e-05
48,Left Hippocampus,-3.218720380094854e-05,-0.04374240996548906,3.218720380094854e-05
116,Right Ent entorhinal area,-2.8221837804105984e-05,-0.018795743977534585,2.8221837804105984e-05
117,Left Ent entorhinal area,-2.4015762938571087e-05,-0.016546860664675478,2.4015762938571087e-05
100,Right ACgG anterior cingulate gyrus,1.9538260537220604e-05,0.034778103756252676,1.9538260537220604e-05
171,Left PHG parahippocampal gyrus,-1.8901795702921908e-05,-0.02251203868217999,1.8901795702921908e-05
47,Right Hippocampus,-1.2900812689048112e-05,-0.0187964840879431,1.2900812689048112e-05
193,Left SMC supplementary motor cortex,1.1692234283244937e-05,0.028213361325470032,1.1692234283244937e-05
206,Right TTG transverse temporal gyrus,8.096564335190984e-06,0.005230380560533376,8.096564335190984e-06
164,Right OrIFG orbital part of the inferior frontal gyrus,7.990950379335484e-06,0.0047626064260839485,7.990950379335484e-06
170,Right PHG parahippocampal gyrus,-7.520549856857289e-06,-0.008084591096121585,7.520549856857289e-06
178,Right POrG posterior orbital gyrus,7.152472132126527e-06,0.00718823449278716,7.152472132126527e-06
55,Right Pallidum,-6.351014596623937e-06,-0.0035819722324959002,6.351014596623937e-06
166,Right PCgG posterior cingulate gyrus,-5.617019779201302e-06,-0.009256848596123746,5.617019779201302e-06
195,Left SMG supramarginal gyrus,-5.387986818971836e-06,-0.021584275196801173,5.387986818971836e-06
113,Left CO central operculum,5.036928547827297e-06,0.00875921874467167,5.036928547827297e-06
200,Right STG superior temporal gyrus,-4.6323996117063385e-06,-0.014448454388912069,4.6323996117063385e-06
153,Left MSFG superior frontal gyrus medial segment,4.554166711540753e-06,0.013653391801199177,4.554166711540753e-06
154,Right MTG middle temporal gyrus,-4.5166698071769144e-06,-0.029326737057999708,4.5166698071769144e-06
142,Right MFG middle frontal gyrus,-4.324886654674953e-06,-0.04026469475502381,4.324886654674953e-06
155,Left MTG middle temporal gyrus,-4.173731431523877e-06,-0.026761965938931098,4.173731431523877e-06
143,Left MFG middle frontal gyrus,-4.015828563909357e-06,-0.03764839278665022,4.015828563909357e-06
109,Left Calc calcarine cortex,3.7592788728159165e-06,0.006067476100724889,3.7592788728159165e-06
105,Left AOrG anterior orbital gyrus,3.3079728379603502e-06,0.002239497611299157,3.3079728379603502e-06
146,Right MOrG medial orbital gyrus,3.138659738541117e-06,0.005589952994341729,3.138659738541117e-06
167,Left PCgG posterior cingulate gyrus,-3.1229449433370576e-06,-0.005861767658643657,3.1229449433370576e-06
151,Left MPrG precentral gyrus medial segment,3.0558918995888037e-06,0.0038106971987872384,3.0558918995888037e-06
207,Left TTG transverse temporal gyrus,2.9841661854501063e-06,0.002017296341364272,2.9841661854501063e-06
115,Left Cun cuneus,2.962904052062312e-06,0.006026546841894742,2.962904052062312e-06
35,Brain Stem,2.923285254680438e-06,0.020240827103407355,2.923285254680438e-06
187,Left SCA subcallosal area,2.9215714566287605e-06,0.0014052758706384338,2.9215714566287605e-06
75,Left Basal Forebrain,-2.68774733709909e-06,-0.00040047435322776437,2.68774733709909e-06
135,Left LiG lingual gyrus,2.4569513978856006e-06,0.007867158376029693,2.4569513978856006e-06
175,Left PO parietal operculum,2.4391897825031412e-06,0.0026367641548858956,2.4391897825031412e-06
180,Right PP planum polare,2.392789104458011e-06,0.0018735538687906228,2.392789104458011e-06
138,Right MCgG middle cingulate gyrus,2.337715788674846e-06,0.004813356808881508,2.337715788674846e-06
120,Right FRP frontal pole,2.2355643391892383e-06,0.0035657251210068353,2.2355643391892383e-06
133,Left ITG inferior temporal gyrus,-2.20811863340647e-06,-0.010870568032260053,2.20811863340647e-06
141,Left MFC medial frontal cortex,2.2028967612838243e-06,0.001729273957607802,2.2028967612838243e-06
124,Right GRe gyrus rectus,2.1067523614688706e-06,0.0019592796961660497,2.1067523614688706e-06
192,Right SMC supplementary motor cortex,2.102418207094397e-06,0.004892327167908661,2.102418207094397e-06
181,Left PP planum polare,2.0942423632616136e-06,0.001870158430392621,2.0942423632616136e-06
139,Left MCgG middle cingulate gyrus,2.0394443213625945e-06,0.004344016404502327,2.0394443213625945e-06
108,Right Calc calcarine cortex,1.94704925412756e-06,0.002827115516993217,1.94704925412756e-06
163,Left OpIFG opercular part of the inferior frontal gyrus,1.945919436623619e-06,0.002757367841695668,1.945919436623619e-06
176,Right PoG postcentral gyrus,1.9259380397977344e-06,0.009159761317278026,1.9259380397977344e-06
161,Left OFuG occipital fusiform gyrus,-1.9022422901067074e-06,-0.0031101661443244666,1.9022422901067074e-06
152,Right MSFG superior frontal gyrus medial segment,1.86350709539622e-06,0.006624767724133562,1.86350709539622e-06
121,Left FRP frontal pole,1.856176558425962e-06,0.0026042157114716247,1.856176558425962e-06
197,Left SOG superior occipital gyrus,1.8516230005758022e-06,0.0026737436128314584,1.8516230005758022e-06
101,Left ACgG anterior cingulate gyrus,1.804095395460271e-06,0.004006895873317262,1.804095395460271e-06
60,Left Thalamus Proper,-1.7940845115816539e-06,-0.005645983957947465,1.7940845115816539e-06
118,Right FO frontal operculum,1.6947588011927424e-06,0.0014490187750197947,1.6947588011927424e-06
173,Left PIns posterior insula,1.6911400600007243e-06,0.0016048919169406872,1.6911400600007243e-06
119,Left FO frontal operculum,-1.61862584211688e-06,-0.0013823064691678155,1.61862584211688e-06
198,Right SPL superior parietal lobule,1.581203331659628e-06,0.008299736287881387,1.581203331659628e-06
194,Right SMG supramarginal gyrus,-1.5267792448453641e-06,-0.005803287909657229,1.5267792448453641e-06
202,Right TMP temporal pole,-1.5142373274865324e-06,-0.005416426920419326,1.5142373274865324e-06
132,Right ITG inferior temporal gyrus,-1.48429355253767e-06,-0.007403656240057899,1.48429355253767e-06
169,Left PCu precuneus,-1.416673095471102e-06,-0.007130115689506056,1.416673095471102e-06
156,Right OCP occipital pole,-1.322447082031152e-06,-0.001741662807035027,1.322447082031152e-06
125,Left GRe gyrus rectus,1.3012706767767668e-06,0.0013663342106156051,1.3012706767767668e-06
186,Right SCA subcallosal area,1.2019387588562617e-06,0.0005829402980452869,1.2019387588562617e-06
203,Left TMP temporal pole,-1.1018345378590869e-06,-0.003913716278475476,1.1018345378590869e-06
128,Right IOG inferior occipital gyrus,-1.094145810557103e-06,-0.0028688503152807243,1.094145810557103e-06
123,Left FuG fusiform gyrus,-1.0808870353237982e-06,-0.0033929044038814027,1.0808870353237982e-06
201,Left STG superior temporal gyrus,-1.0758062396905417e-06,-0.003185462275723694,1.0758062396905417e-06
107,Left AnG angular gyrus,-1.0456959948691838e-06,-0.004314541674830252,1.0456959948691838e-06
183,Left PrG precentral gyrus,1.031969446184805e-06,0.0062031683410168625,1.031969446184805e-06
59,Right Thalamus Proper,-9.665413096587619e-07,-0.002889958515879698,9.665413096587619e-07
134,Right LiG lingual gyrus,8.654978307625404e-07,0.0029634645725309383,8.654978307625404e-07
136,Right LOrG lateral orbital gyrus,8.635665267983576e-07,0.0007400765134661924,8.635665267983576e-07
172,Right PIns posterior insula,7.758666955245038e-07,0.0007564700281363912,7.758666955245038e-07
196,Right SOG superior occipital gyrus,7.583020258033158e-07,0.00129669646412367,7.583020258033158e-07
112,Right CO central operculum,7.475233296737738e-07,0.0013261063868412748,7.475233296737738e-07
182,Right PrG precentral gyrus,7.473711416614988e-07,0.004475258396269055,7.473711416614988e-07
137,Left LOrG lateral orbital gyrus,6.956462188397822e-07,0.0005947775171080139,6.956462188397822e-07
205,Left TrIFG triangular part of the inferior frontal gyrus,6.231557988294044e-07,0.0009334873866464477,6.231557988294044e-07
106,Right AnG angular gyrus,-6.109685361708749e-07,-0.002889881176088238,6.109685361708749e-07
37,Left Caudate,5.925493915417483e-07,0.0007466122333426028,5.925493915417483e-07
204,Right TrIFG triangular part of the inferior frontal gyrus,5.537000031110437e-07,0.0007757337043585721,5.537000031110437e-07
122,Right FuG fusiform gyrus,-5.001958046755796e-07,-0.0016156324491021223,5.001958046755796e-07
104,Right AOrG anterior orbital gyrus,4.954031462956829e-07,0.00037551558489212766,4.954031462956829e-07
177,Left PoG postcentral gyrus,4.887569495020218e-07,0.0026519952079979703,4.887569495020218e-07
148,Right MPoG postcentral gyrus medial segment,4.789081825807583e-07,0.0001494193529651966,4.789081825807583e-07
199,Left SPL superior parietal lobule,4.6710632103673545e-07,0.0024406305274169426,4.6710632103673545e-07
149,Left MPoG postcentral gyrus medial segment,-3.98589903891255e-07,-0.00014986980386311188,3.98589903891255e-07
58,Left Putamen,-3.8223833895780984e-07,-0.0006612723263970111,3.8223833895780984e-07
103,Left AIns anterior insula,-3.814243522820517e-07,-0.00069342947244877,3.814243522820517e-07
114,Right Cun cuneus,3.163388992806386e-07,0.0006579849105037283,3.163388992806386e-07
150,Right MPrG precentral gyrus medial segment,3.127932208535055e-07,0.0003697215870488435,3.127932208535055e-07
191,Left SFG superior frontal gyrus,-3.0091417809173814e-07,-0.0020552438363665715,3.0091417809173814e-07
102,Right AIns anterior insula,-2.772813040771782e-07,-0.0004930061586492229,2.772813040771782e-07
56,Left Pallidum,2.684130245167429e-07,0.00015004288070485927,2.684130245167429e-07
162,Right OpIFG opercular part of the inferior frontal gyrus,-2.496548952640047e-07,-0.00036449614708544686,2.496548952640047e-07
174,Right PO parietal operculum,2.10245729446905e-07,0.00020141540881013498,2.10245729446905e-07
144,Right MOG middle occipital gyrus,1.6033371736421452e-07,0.0003628352023952175,1.6033371736421452e-07
168,Right PCu precuneus,-1.3328848279924435e-07,-0.0006757726077921689,1.3328848279924435e-07
190,Right SFG superior frontal gyrus,-1.1482538404431172e-07,-0.0007878169599280227,1.1482538404431172e-07
147,Left MOrG medial orbital gyrus,1.1087567154400971e-07,0.00019935445743612945,1.1087567154400971e-07
160,Right OFuG occipital fusiform gyrus,-1.1012283912829222e-07,-0.00016738671547500417,1.1012283912829222e-07
165,Left OrIFG orbital part of the inferior frontal gyrus,-6.059701470626983e-08,-3.617641777964309e-05,6.059701470626983e-08
129,Left IOG inferior occipital gyrus,6.02640969192263e-08,0.00016566600243095309,6.02640969192263e-08
57,Right Putamen,5.516063459909484e-08,9.206309914588928e-05,5.516063459909484e-08
157,Left OCP occipital pole,-2.2190006057018096e-08,-3.190922870999202e-05,2.2190006057018096e-08
185,Left PT planum temporale,1.2666799970928517e-08,1.1336785973981023e-05,1.2666799970928517e-08
179,Left POrG posterior orbital gyrus,7.734399014266574e-09,8.531042112736031e-06,7.734399014266574e-09
145,Left MOG middle occipital gyrus,5.2275128560837736e-09,1.3899956684326753e-05,5.2275128560837736e-09
36,Right Caudate,0.0,0.0,0.0
76,Right Basal Forebrain,0.0,0.0,0.0
30,Left Accumbens Area,0.0,0.0,0.0
23,Right Accumbens Area,0.0,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0,0.0
184,Right PT planum temporale,0.0,0.0,0.0
