ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
32,Left Amygdala,2.8926972986857096,1084.761487007141
31,Right Amygdala,1.6569037386440337,619.6819982528687
117,Left Ent entorhinal area,1.1867222903601835,817.6516580581665
48,Left Hippocampus,0.20828006827190923,283.05261278152466
47,Right Hippocampus,0.14189057785432144,206.73457193374634
116,Right Ent entorhinal area,0.09921868069393856,66.07964134216309
171,Left PHG parahippocampal gyrus,0.09044728291124782,107.72271394729614
203,Left TMP temporal pole,0.02761644218956028,98.09360265731812
195,Left SMG supramarginal gyrus,0.009941362465731334,39.82509803771973
200,Right STG superior temporal gyrus,0.008711012711544838,27.16964864730835
60,Left Thalamus Proper,0.007085667892906981,22.29859685897827
59,Right Thalamus Proper,0.005571570125311912,16.658994674682617
58,Left Putamen,0.003191654392749588,5.521562099456787
36,Right Caudate,0.0,0.0
57,Right Putamen,0.0,0.0
56,Left Pallidum,0.0,0.0
55,Right Pallidum,0.0,0.0
30,Left Accumbens Area,0.0,0.0
23,Right Accumbens Area,0.0,0.0
101,Left ACgG anterior cingulate gyrus,0.0,0.0
100,Right ACgG anterior cingulate gyrus,0.0,0.0
102,Right AIns anterior insula,0.0,0.0
103,Left AIns anterior insula,0.0,0.0
106,Right AnG angular gyrus,0.0,0.0
107,Left AnG angular gyrus,0.0,0.0
104,Right AOrG anterior orbital gyrus,0.0,0.0
105,Left AOrG anterior orbital gyrus,0.0,0.0
109,Left Calc calcarine cortex,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0
112,Right CO central operculum,0.0,0.0
113,Left CO central operculum,0.0,0.0
115,Left Cun cuneus,0.0,0.0
114,Right Cun cuneus,0.0,0.0
118,Right FO frontal operculum,0.0,0.0
119,Left FO frontal operculum,0.0,0.0
120,Right FRP frontal pole,0.0,0.0
121,Left FRP frontal pole,0.0,0.0
122,Right FuG fusiform gyrus,0.0,0.0
123,Left FuG fusiform gyrus,0.0,0.0
124,Right GRe gyrus rectus,0.0,0.0
125,Left GRe gyrus rectus,0.0,0.0
128,Right IOG inferior occipital gyrus,0.0,0.0
129,Left IOG inferior occipital gyrus,0.0,0.0
132,Right ITG inferior temporal gyrus,0.0,0.0
133,Left ITG inferior temporal gyrus,0.0,0.0
134,Right LiG lingual gyrus,0.0,0.0
135,Left LiG lingual gyrus,0.0,0.0
75,Left Basal Forebrain,0.0,0.0
76,Right Basal Forebrain,0.0,0.0
37,Left Caudate,0.0,0.0
35,Brain Stem,0.0,0.0
139,Left MCgG middle cingulate gyrus,0.0,0.0
138,Right MCgG middle cingulate gyrus,0.0,0.0
137,Left LOrG lateral orbital gyrus,0.0,0.0
136,Right LOrG lateral orbital gyrus,0.0,0.0
144,Right MOG middle occipital gyrus,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0
142,Right MFG middle frontal gyrus,0.0,0.0
141,Left MFC medial frontal cortex,0.0,0.0
148,Right MPoG postcentral gyrus medial segment,0.0,0.0
149,Left MPoG postcentral gyrus medial segment,0.0,0.0
150,Right MPrG precentral gyrus medial segment,0.0,0.0
151,Left MPrG precentral gyrus medial segment,0.0,0.0
152,Right MSFG superior frontal gyrus medial segment,0.0,0.0
145,Left MOG middle occipital gyrus,0.0,0.0
146,Right MOrG medial orbital gyrus,0.0,0.0
143,Left MFG middle frontal gyrus,0.0,0.0
155,Left MTG middle temporal gyrus,0.0,0.0
156,Right OCP occipital pole,0.0,0.0
160,Right OFuG occipital fusiform gyrus,0.0,0.0
157,Left OCP occipital pole,0.0,0.0
162,Right OpIFG opercular part of the inferior frontal gyrus,0.0,0.0
163,Left OpIFG opercular part of the inferior frontal gyrus,0.0,0.0
164,Right OrIFG orbital part of the inferior frontal gyrus,0.0,0.0
161,Left OFuG occipital fusiform gyrus,0.0,0.0
165,Left OrIFG orbital part of the inferior frontal gyrus,0.0,0.0
166,Right PCgG posterior cingulate gyrus,0.0,0.0
168,Right PCu precuneus,0.0,0.0
167,Left PCgG posterior cingulate gyrus,0.0,0.0
169,Left PCu precuneus,0.0,0.0
153,Left MSFG superior frontal gyrus medial segment,0.0,0.0
154,Right MTG middle temporal gyrus,0.0,0.0
147,Left MOrG medial orbital gyrus,0.0,0.0
173,Left PIns posterior insula,0.0,0.0
172,Right PIns posterior insula,0.0,0.0
170,Right PHG parahippocampal gyrus,0.0,0.0
174,Right PO parietal operculum,0.0,0.0
178,Right POrG posterior orbital gyrus,0.0,0.0
175,Left PO parietal operculum,0.0,0.0
176,Right PoG postcentral gyrus,0.0,0.0
177,Left PoG postcentral gyrus,0.0,0.0
182,Right PrG precentral gyrus,0.0,0.0
183,Left PrG precentral gyrus,0.0,0.0
184,Right PT planum temporale,0.0,0.0
185,Left PT planum temporale,0.0,0.0
186,Right SCA subcallosal area,0.0,0.0
179,Left POrG posterior orbital gyrus,0.0,0.0
180,Right PP planum polare,0.0,0.0
181,Left PP planum polare,0.0,0.0
191,Left SFG superior frontal gyrus,0.0,0.0
190,Right SFG superior frontal gyrus,0.0,0.0
187,Left SCA subcallosal area,0.0,0.0
192,Right SMC supplementary motor cortex,0.0,0.0
196,Right SOG superior occipital gyrus,0.0,0.0
197,Left SOG superior occipital gyrus,0.0,0.0
193,Left SMC supplementary motor cortex,0.0,0.0
194,Right SMG supramarginal gyrus,0.0,0.0
199,Left SPL superior parietal lobule,0.0,0.0
198,Right SPL superior parietal lobule,0.0,0.0
201,Left STG superior temporal gyrus,0.0,0.0
202,Right TMP temporal pole,0.0,0.0
204,Right TrIFG triangular part of the inferior frontal gyrus,0.0,0.0
205,Left TrIFG triangular part of the inferior frontal gyrus,0.0,0.0
206,Right TTG transverse temporal gyrus,0.0,0.0
207,Left TTG transverse temporal gyrus,0.0,0.0
