ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
32,Left Amygdala,-2.5826486778259277,-968.4932541847229,2.5826486778259277
31,Right Amygdala,-1.369093024156948,-512.0407910346985,1.369093024156948
117,Left Ent entorhinal area,-1.014743042269016,-699.157956123352,1.014743042269016
48,Left Hippocampus,-0.163480630949019,-222.1701774597168,0.163480630949019
47,Right Hippocampus,-0.08327698560307593,-121.33456802368164,0.08327698560307593
171,Left PHG parahippocampal gyrus,-0.061427345403996365,-73.15996837615967,0.061427345403996365
116,Right Ent entorhinal area,-0.04119349528361369,-27.43486785888672,0.04119349528361369
203,Left TMP temporal pole,-0.0268879146189303,-95.50587272644043,0.0268879146189303
195,Left SMG supramarginal gyrus,-0.007066737040244991,-28.309348583221436,0.007066737040244991
59,Right Thalamus Proper,-0.003635898322166009,-10.871335983276367,0.003635898322166009
60,Left Thalamus Proper,-0.003545791109592376,-11.158604621887207,0.003545791109592376
58,Left Putamen,-0.003111656552794352,-5.3831658363342285,0.003111656552794352
56,Left Pallidum,0.0,0.0,0.0
36,Right Caudate,0.0,0.0,0.0
57,Right Putamen,0.0,0.0,0.0
75,Left Basal Forebrain,0.0,0.0,0.0
55,Right Pallidum,0.0,0.0,0.0
30,Left Accumbens Area,0.0,0.0,0.0
23,Right Accumbens Area,0.0,0.0,0.0
101,Left ACgG anterior cingulate gyrus,0.0,0.0,0.0
100,Right ACgG anterior cingulate gyrus,0.0,0.0,0.0
102,Right AIns anterior insula,0.0,0.0,0.0
103,Left AIns anterior insula,0.0,0.0,0.0
106,Right AnG angular gyrus,0.0,0.0,0.0
107,Left AnG angular gyrus,0.0,0.0,0.0
104,Right AOrG anterior orbital gyrus,0.0,0.0,0.0
105,Left AOrG anterior orbital gyrus,0.0,0.0,0.0
109,Left Calc calcarine cortex,0.0,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0,0.0
112,Right CO central operculum,0.0,0.0,0.0
113,Left CO central operculum,0.0,0.0,0.0
115,Left Cun cuneus,0.0,0.0,0.0
114,Right Cun cuneus,0.0,0.0,0.0
118,Right FO frontal operculum,0.0,0.0,0.0
119,Left FO frontal operculum,0.0,0.0,0.0
120,Right FRP frontal pole,0.0,0.0,0.0
121,Left FRP frontal pole,0.0,0.0,0.0
122,Right FuG fusiform gyrus,0.0,0.0,0.0
123,Left FuG fusiform gyrus,0.0,0.0,0.0
124,Right GRe gyrus rectus,0.0,0.0,0.0
125,Left GRe gyrus rectus,0.0,0.0,0.0
128,Right IOG inferior occipital gyrus,0.0,0.0,0.0
129,Left IOG inferior occipital gyrus,0.0,0.0,0.0
132,Right ITG inferior temporal gyrus,0.0,0.0,0.0
133,Left ITG inferior temporal gyrus,0.0,0.0,0.0
134,Right LiG lingual gyrus,0.0,0.0,0.0
135,Left LiG lingual gyrus,0.0,0.0,0.0
136,Right LOrG lateral orbital gyrus,0.0,0.0,0.0
76,Right Basal Forebrain,0.0,0.0,0.0
37,Left Caudate,0.0,0.0,0.0
35,Brain Stem,0.0,0.0,0.0
139,Left MCgG middle cingulate gyrus,0.0,0.0,0.0
138,Right MCgG middle cingulate gyrus,0.0,0.0,0.0
137,Left LOrG lateral orbital gyrus,0.0,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0,0.0
144,Right MOG middle occipital gyrus,0.0,0.0,0.0
145,Left MOG middle occipital gyrus,0.0,0.0,0.0
142,Right MFG middle frontal gyrus,0.0,0.0,0.0
141,Left MFC medial frontal cortex,0.0,0.0,0.0
148,Right MPoG postcentral gyrus medial segment,0.0,0.0,0.0
149,Left MPoG postcentral gyrus medial segment,0.0,0.0,0.0
150,Right MPrG precentral gyrus medial segment,0.0,0.0,0.0
151,Left MPrG precentral gyrus medial segment,0.0,0.0,0.0
152,Right MSFG superior frontal gyrus medial segment,0.0,0.0,0.0
153,Left MSFG superior frontal gyrus medial segment,0.0,0.0,0.0
146,Right MOrG medial orbital gyrus,0.0,0.0,0.0
143,Left MFG middle frontal gyrus,0.0,0.0,0.0
155,Left MTG middle temporal gyrus,0.0,0.0,0.0
156,Right OCP occipital pole,0.0,0.0,0.0
160,Right OFuG occipital fusiform gyrus,0.0,0.0,0.0
157,Left OCP occipital pole,0.0,0.0,0.0
162,Right OpIFG opercular part of the inferior frontal gyrus,0.0,0.0,0.0
163,Left OpIFG opercular part of the inferior frontal gyrus,0.0,0.0,0.0
164,Right OrIFG orbital part of the inferior frontal gyrus,0.0,0.0,0.0
161,Left OFuG occipital fusiform gyrus,0.0,0.0,0.0
165,Left OrIFG orbital part of the inferior frontal gyrus,0.0,0.0,0.0
166,Right PCgG posterior cingulate gyrus,0.0,0.0,0.0
168,Right PCu precuneus,0.0,0.0,0.0
167,Left PCgG posterior cingulate gyrus,0.0,0.0,0.0
169,Left PCu precuneus,0.0,0.0,0.0
170,Right PHG parahippocampal gyrus,0.0,0.0,0.0
154,Right MTG middle temporal gyrus,0.0,0.0,0.0
147,Left MOrG medial orbital gyrus,0.0,0.0,0.0
173,Left PIns posterior insula,0.0,0.0,0.0
172,Right PIns posterior insula,0.0,0.0,0.0
174,Right PO parietal operculum,0.0,0.0,0.0
175,Left PO parietal operculum,0.0,0.0,0.0
178,Right POrG posterior orbital gyrus,0.0,0.0,0.0
179,Left POrG posterior orbital gyrus,0.0,0.0,0.0
176,Right PoG postcentral gyrus,0.0,0.0,0.0
177,Left PoG postcentral gyrus,0.0,0.0,0.0
182,Right PrG precentral gyrus,0.0,0.0,0.0
183,Left PrG precentral gyrus,0.0,0.0,0.0
184,Right PT planum temporale,0.0,0.0,0.0
185,Left PT planum temporale,0.0,0.0,0.0
186,Right SCA subcallosal area,0.0,0.0,0.0
187,Left SCA subcallosal area,0.0,0.0,0.0
180,Right PP planum polare,0.0,0.0,0.0
181,Left PP planum polare,0.0,0.0,0.0
191,Left SFG superior frontal gyrus,0.0,0.0,0.0
190,Right SFG superior frontal gyrus,0.0,0.0,0.0
193,Left SMC supplementary motor cortex,0.0,0.0,0.0
192,Right SMC supplementary motor cortex,0.0,0.0,0.0
196,Right SOG superior occipital gyrus,0.0,0.0,0.0
197,Left SOG superior occipital gyrus,0.0,0.0,0.0
198,Right SPL superior parietal lobule,0.0,0.0,0.0
194,Right SMG supramarginal gyrus,0.0,0.0,0.0
199,Left SPL superior parietal lobule,0.0,0.0,0.0
200,Right STG superior temporal gyrus,0.0,0.0,0.0
201,Left STG superior temporal gyrus,0.0,0.0,0.0
202,Right TMP temporal pole,0.0,0.0,0.0
204,Right TrIFG triangular part of the inferior frontal gyrus,0.0,0.0,0.0
205,Left TrIFG triangular part of the inferior frontal gyrus,0.0,0.0,0.0
206,Right TTG transverse temporal gyrus,0.0,0.0,0.0
207,Left TTG transverse temporal gyrus,0.0,0.0,0.0
