ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
31,Right Amygdala,-0.43847567034277685,-163.98990070819855,0.43847567034277685
32,Left Amygdala,-0.43842514499028523,-164.40942937135696,0.43842514499028523
116,Right Ent entorhinal area,-0.31184460186922514,-207.68850484490395,0.31184460186922514
117,Left Ent entorhinal area,-0.28101539832414146,-193.61960944533348,0.28101539832414146
48,Left Hippocampus,-0.12479571692201476,-169.59737929701805,0.12479571692201476
47,Right Hippocampus,-0.0938403276482427,-136.7253573834896,0.0938403276482427
171,Left PHG parahippocampal gyrus,-0.0864101211680373,-102.91445431113243,0.0864101211680373
170,Right PHG parahippocampal gyrus,-0.06068273796591648,-65.23394331336021,0.06068273796591648
75,Left Basal Forebrain,-0.0253522714112429,-3.7774884402751923,0.0253522714112429
202,Right TMP temporal pole,-0.02231606900242077,-79.82457882165909,0.02231606900242077
76,Right Basal Forebrain,-0.021674502722538302,-2.969406872987747,0.021674502722538302
203,Left TMP temporal pole,-0.013660437419070854,-48.52187371253967,0.013660437419070854
132,Right ITG inferior temporal gyrus,-0.013496806371565714,-67.32207018136978,0.013496806371565714
133,Left ITG inferior temporal gyrus,-0.013089628740706242,-64.44024229049683,0.013089628740706242
100,Right ACgG anterior cingulate gyrus,0.008288268510545238,14.753117948770523,0.008288268510545238
154,Right MTG middle temporal gyrus,-0.005686335422841055,-36.92137590050697,0.005686335422841055
103,Left AIns anterior insula,-0.004763815039717587,-8.660615742206573,0.004763815039717587
200,Right STG superior temporal gyrus,-0.00292065307741633,-9.109516948461533,0.00292065307741633
123,Left FuG fusiform gyrus,-0.0025603228330840044,-8.03685337305069,0.0025603228330840044
146,Right MOrG medial orbital gyrus,0.002217957790750657,3.9501828253269196,0.002217957790750657
59,Right Thalamus Proper,-0.0010503299060872567,-3.140486419200897,0.0010503299060872567
101,Left ACgG anterior cingulate gyrus,0.0010475961676807567,2.3267110884189606,0.0010475961676807567
122,Right FuG fusiform gyrus,-0.0009214439259225001,-2.9762638807296753,0.0009214439259225001
60,Left Thalamus Proper,-0.0006350243625695416,-1.9984216690063477,0.0006350243625695416
167,Left PCgG posterior cingulate gyrus,-0.0005497085203435997,-1.0318028926849365,0.0005497085203435997
155,Left MTG middle temporal gyrus,-0.0004137645400619031,-2.6530582308769226,0.0004137645400619031
166,Right PCgG posterior cingulate gyrus,-0.0004128061813636891,-0.6803045868873596,0.0004128061813636891
58,Left Putamen,-0.00038233454516857344,-0.6614387631416321,0.00038233454516857344
102,Right AIns anterior insula,-0.00019170307000120526,-0.34084805846214294,0.00019170307000120526
143,Left MFG middle frontal gyrus,-3.441417376200358e-05,-0.32263287901878357,3.441417376200358e-05
57,Right Putamen,0.0,0.0,0.0
37,Left Caudate,0.0,0.0,0.0
36,Right Caudate,0.0,0.0,0.0
55,Right Pallidum,0.0,0.0,0.0
35,Brain Stem,0.0,0.0,0.0
119,Left FO frontal operculum,0.0,0.0,0.0
118,Right FO frontal operculum,0.0,0.0,0.0
114,Right Cun cuneus,0.0,0.0,0.0
115,Left Cun cuneus,0.0,0.0,0.0
124,Right GRe gyrus rectus,0.0,0.0,0.0
56,Left Pallidum,0.0,0.0,0.0
23,Right Accumbens Area,0.0,0.0,0.0
30,Left Accumbens Area,0.0,0.0,0.0
109,Left Calc calcarine cortex,0.0,0.0,0.0
108,Right Calc calcarine cortex,0.0,0.0,0.0
112,Right CO central operculum,0.0,0.0,0.0
