ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
31,Right Amygdala,4.235828604831181e-05,0.015841998982068617
32,Left Amygdala,3.671883955636683e-05,0.01376956483363756
48,Left Hippocampus,3.218720380094854e-05,0.04374240996548906
116,Right Ent entorhinal area,2.8221837804105984e-05,0.018795743977534585
117,Left Ent entorhinal area,2.4015762938571087e-05,0.016546860664675478
100,Right ACgG anterior cingulate gyrus,1.9538260537220604e-05,0.034778103756252676
171,Left PHG parahippocampal gyrus,1.9071114763035342e-05,0.02271369768277509
47,Right Hippocampus,1.2966701034590725e-05,0.018892483407398686
193,Left SMC supplementary motor cortex,1.1692234283244937e-05,0.028213361325470032
164,Right OrIFG orbital part of the inferior frontal gyrus,8.520554088410802e-06,0.005078250236692838
206,Right TTG transverse temporal gyrus,8.096564335190984e-06,0.005230380560533376
170,Right PHG parahippocampal gyrus,7.520549856857289e-06,0.008084591096121585
178,Right POrG posterior orbital gyrus,7.152472132126527e-06,0.00718823449278716
55,Right Pallidum,6.351014596623937e-06,0.0035819722324959002
195,Left SMG supramarginal gyrus,6.312253405644277e-06,0.025286887143010972
35,Brain Stem,5.708312334562309e-06,0.039524354604509426
166,Right PCgG posterior cingulate gyrus,5.617019779201302e-06,0.009256848596123746
119,Left FO frontal operculum,5.380446883470564e-06,0.0045949016384838615
143,Left MFG middle frontal gyrus,5.03947387333028e-06,0.04724506756247138
113,Left CO central operculum,5.036928547827297e-06,0.00875921874467167
154,Right MTG middle temporal gyrus,4.8008233066082394e-06,0.0311717457298073
200,Right STG superior temporal gyrus,4.761092730596797e-06,0.01484984822673141
142,Right MFG middle frontal gyrus,4.624874147962405e-06,0.04305757831752999
153,Left MSFG superior frontal gyrus medial segment,4.5881130412686775e-06,0.013755162897723494
155,Left MTG middle temporal gyrus,4.461570406068154e-06,0.028607589443709003
165,Left OrIFG orbital part of the inferior frontal gyrus,4.237129480614665e-06,0.0025295662999269553
183,Left PrG precentral gyrus,3.997279503251434e-06,0.02402764709404437
109,Left Calc calcarine cortex,3.832125724384895e-06,0.00618505091915722
167,Left PCgG posterior cingulate gyrus,3.3316301646550344e-06,0.0062534698190575
105,Left AOrG anterior orbital gyrus,3.3079728379603502e-06,0.002239497611299157
146,Right MOrG medial orbital gyrus,3.138659738541117e-06,0.005589952994341729
151,Left MPrG precentral gyrus medial segment,3.0558918995888037e-06,0.0038106971987872384
207,Left TTG transverse temporal gyrus,2.9841661854501063e-06,0.002017296341364272
115,Left Cun cuneus,2.962904052062312e-06,0.006026546841894742
198,Right SPL superior parietal lobule,2.9596919061624138e-06,0.015535422815446509
187,Left SCA subcallosal area,2.9215714566287605e-06,0.0014052758706384338
203,Left TMP temporal pole,2.7574354509999615e-06,0.009794410721951863
75,Left Basal Forebrain,2.68774733709909e-06,0.00040047435322776437
168,Right PCu precuneus,2.60654307542051e-06,0.013215173392381985
133,Left ITG inferior temporal gyrus,2.5965814694972976e-06,0.012782970574335195
177,Left PoG postcentral gyrus,2.5789678870806543e-06,0.013993479755299632
56,Left Pallidum,2.54892053259395e-06,0.001424846577720018
60,Left Thalamus Proper,2.4879736236663116e-06,0.007829652993677882
135,Left LiG lingual gyrus,2.4872793548114814e-06,0.007964268494106364
106,Right AnG angular gyrus,2.4557154649712565e-06,0.011615534149314044
103,Left AIns anterior insula,2.4535582728140422e-06,0.0044605689399759285
175,Left PO parietal operculum,2.4391897825031412e-06,0.0026367641548858956
181,Left PP planum polare,2.428763346755168e-06,0.002168885668652365
152,Right MSFG superior frontal gyrus medial segment,2.4190846750867695e-06,0.008599846019933466
192,Right SMC supplementary motor cortex,2.4183053358409557e-06,0.0056273965165019035
205,Left TrIFG triangular part of the inferior frontal gyrus,2.4030532306754955e-06,0.0035997737395518925
180,Right PP planum polare,2.392789104458011e-06,0.0018735538687906228
201,Left STG superior temporal gyrus,2.3613106606716724e-06,0.006991840866248822
120,Right FRP frontal pole,2.3592878791772202e-06,0.0037630641672876664
138,Right MCgG middle cingulate gyrus,2.337715788674846e-06,0.004813356808881508
169,Left PCu precuneus,2.272915345367617e-06,0.011439582933235215
108,Right Calc calcarine cortex,2.232991136232399e-06,0.003242303129809443
141,Left MFC medial frontal cortex,2.2028967612838243e-06,0.001729273957607802
160,Right OFuG occipital fusiform gyrus,2.202285323667303e-06,0.003347473691974301
197,Left SOG superior occipital gyrus,2.172728141845872e-06,0.0031374194368254393
162,Right OpIFG opercular part of the inferior frontal gyrus,2.150076651971226e-06,0.0031391119118779898
161,Left OFuG occipital fusiform gyrus,2.1495831468490033e-06,0.0035145684450981207
176,Right PoG postcentral gyrus,2.1397710387928186e-06,0.010176751060498646
124,Right GRe gyrus rectus,2.1067523614688706e-06,0.0019592796961660497
139,Left MCgG middle cingulate gyrus,2.0394443213625945e-06,0.004344016404502327
156,Right OCP occipital pole,1.973290158788042e-06,0.0025988231391238514
128,Right IOG inferior occipital gyrus,1.9474087428778602e-06,0.005106105723825749
163,Left OpIFG opercular part of the inferior frontal gyrus,1.945919436623619e-06,0.002757367841695668
118,Right FO frontal operculum,1.9318442036021958e-06,0.0016517267940798774
191,Left SFG superior frontal gyrus,1.916024684946913e-06,0.013086448598187417
132,Right ITG inferior temporal gyrus,1.897259920245903e-06,0.009463532482186565
101,Left ACgG anterior cingulate gyrus,1.8933716771208155e-06,0.004205178494885331
121,Left FRP frontal pole,1.856176558425962e-06,0.0026042157114716247
136,Right LOrG lateral orbital gyrus,1.813742313176761e-06,0.001554377162392484
196,Right SOG superior occipital gyrus,1.811676130055488e-06,0.0030979661823948845
173,Left PIns posterior insula,1.6911400600007243e-06,0.0016048919169406872
144,Right MOG middle occipital gyrus,1.6841130722562074e-06,0.0038111478825157974
190,Right SFG superior frontal gyrus,1.647289094291409e-06,0.011302050475933356
204,Right TrIFG triangular part of the inferior frontal gyrus,1.626133392961313e-06,0.0022782128835387994
107,Left AnG angular gyrus,1.609627203348565e-06,0.006641321841016179
129,Left IOG inferior occipital gyrus,1.5831553218743965e-06,0.004352093979832716
194,Right SMG supramarginal gyrus,1.5532819941525722e-06,0.0059040248597739264
199,Left SPL superior parietal lobule,1.5180673163092326e-06,0.00793190172771574
202,Right TMP temporal pole,1.5142373274865324e-06,0.005416426920419326
182,Right PrG precentral gyrus,1.4225044515449008e-06,0.008517956655850867
145,Left MOG middle occipital gyrus,1.4169635389185986e-06,0.003767706049984554
137,Left LOrG lateral orbital gyrus,1.401184561590212e-06,0.0011980128001596313
59,Right Thalamus Proper,1.3608127259291135e-06,0.0040688300505280495
125,Left GRe gyrus rectus,1.3012706767767668e-06,0.0013663342106156051
186,Right SCA subcallosal area,1.2019387588562617e-06,0.0005829402980452869
58,Left Putamen,1.1719394959892938e-06,0.002027455328061478
123,Left FuG fusiform gyrus,1.0808870353237982e-06,0.0033929044038814027
157,Left OCP occipital pole,1.072426060550122e-06,0.0015421486750710756
134,Right LiG lingual gyrus,1.008983967014467e-06,0.0034547611030575354
112,Right CO central operculum,9.782329209441825e-07,0.0017353852017549798
172,Right PIns posterior insula,7.758666955245038e-07,0.0007564700281363912
114,Right Cun cuneus,6.31976460961316e-07,0.0013145110387995373
37,Left Caudate,5.925493915417483e-07,0.0007466122333426028
102,Right AIns anterior insula,5.819068579334521e-07,0.0010346303934056778
122,Right FuG fusiform gyrus,5.315099539193426e-07,0.0017167771511594765
57,Right Putamen,5.000227273521647e-07,0.0008345379319507629
104,Right AOrG anterior orbital gyrus,4.954031462956829e-07,0.00037551558489212766
150,Right MPrG precentral gyrus medial segment,4.837526912232089e-07,0.0005717956810258329
148,Right MPoG postcentral gyrus medial segment,4.789081825807583e-07,0.0001494193529651966
179,Left POrG posterior orbital gyrus,4.6891282569150103e-07,0.0005172108467377257
185,Left PT planum temporale,4.557357348538103e-07,0.0004078834826941602
149,Left MPoG postcentral gyrus medial segment,3.98589903891255e-07,0.00014986980386311188
174,Right PO parietal operculum,2.10245729446905e-07,0.00020141540881013498
147,Left MOrG medial orbital gyrus,1.1087567154400971e-07,0.00019935445743612945
36,Right Caudate,0.0,0.0
76,Right Basal Forebrain,0.0,0.0
30,Left Accumbens Area,0.0,0.0
23,Right Accumbens Area,0.0,0.0
140,Right MFC medial frontal cortex,0.0,0.0
184,Right PT planum temporale,0.0,0.0
